Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
KOR,2005,exante,5,0.939,18.38,,"No Schooling,Elementary School,Middle School,High School",,"Regular/Standard Wage Worker,Family Worker",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,6,1.158,6.9,,"No Schooling,Elementary School,Middle School,High School",,Employer (With Employees),,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,8,1.141,4.34,,"Community College,College/University,Graduate Degree","No Schooling,Middle School,High School,Community College,Graduate Degree","Regular/Standard Wage Worker,Employer (With Employees),Family Worker",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,9,1.611,1.92,,"Community College,College/University,Graduate Degree","Elementary School,College/University","Regular/Standard Wage Worker,Employer (With Employees),Family Worker",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,14,0.647,1.66,"Seoul,Busan,Daegu,Incheon,Gwangju,Ulsan,Gangwon-Do,Chungcheongbuk-Do,Chungcheongnam-Do,Jeollabuk-Do,Jeollanam-Do,Gyeongsangbuk-Do,Gyeonsangnam-Do,Jeju-Do,Overseas",,No Schooling,"Irregular/Nonstandard Wage Worker,No Job/Housewife",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,15,0.877,25.45,"Seoul,Busan,Daegu,Incheon,Gwangju,Ulsan,Gangwon-Do,Chungcheongbuk-Do,Chungcheongnam-Do,Jeollabuk-Do,Jeollanam-Do,Gyeongsangbuk-Do,Gyeonsangnam-Do,Jeju-Do,Overseas",,No Schooling,Self-Employed(With No Employee),,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,16,1.318,3.45,"Daejeon,Gyeonggi-Do,North Korea",,No Schooling,"Irregular/Nonstandard Wage Worker,Self-Employed(With No Employee),No Job/Housewife",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,19,0.986,7.15,,"No Schooling,Elementary School,Middle School","Elementary School,College/University,Graduate Degree","Irregular/Nonstandard Wage Worker,Self-Employed(With No Employee),No Job/Housewife",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",Male
KOR,2005,exante,20,0.84,7.19,,"No Schooling,Elementary School,Middle School","Elementary School,College/University,Graduate Degree","Irregular/Nonstandard Wage Worker,Self-Employed(With No Employee),No Job/Housewife",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",Female
KOR,2005,exante,21,1.053,2.13,,"High School,Community College,College/University,Graduate Degree","Elementary School,College/University,Graduate Degree","Irregular/Nonstandard Wage Worker,Self-Employed(With No Employee),No Job/Housewife",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,23,0.669,1.91,,,"Middle School,High School,Community College","Irregular/Nonstandard Wage Worker,No Job/Housewife",,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,24,0.875,6.63,,,"Middle School,High School,Community College",Self-Employed(With No Employee),,"None,Protestant,Confucian,Daejong Faith,Daesoon Faith,Other",
KOR,2005,exante,25,1.232,12.9,,,,,,"Buddhist,Catholic,Won Buddhist",
