Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
NGA,2019,exante,4,1.023,17.43, North Central,"No School,Nursery And Pre,Post Primary,Quaranic",,,,,
NGA,2019,exante,9,0.652,4.06,North East,"No School,Nursery And Pre","No School,Univerity Level,Quaranic",,,"Catholic,Traditional",
NGA,2019,exante,10,0.725,7.82,North East,"No School,Nursery And Pre","No School,Univerity Level,Quaranic",,,Islam,
NGA,2019,exante,12,0.895,3.97,North West,"No School,Nursery And Pre","No School,Univerity Level,Quaranic",,,,
NGA,2019,exante,14,0.721,2.33,South East,"No School,Nursery And Pre","No School,Univerity Level,Quaranic",,,,Female
NGA,2019,exante,15,0.907,3.46,South East,"No School,Nursery And Pre","No School,Univerity Level,Quaranic",,,,Male
NGA,2019,exante,18,0.829,2.45,North East,Quaranic,No School,,,,
NGA,2019,exante,19,0.921,5.61,North East,Quaranic,Quaranic,,,,
NGA,2019,exante,21,0.966,1.9,North West,Quaranic,No School,,,,
NGA,2019,exante,22,0.804,22.18,North West,Quaranic,"Univerity Level,Quaranic",,,,
NGA,2019,exante,23,1.058,1.01,"North East,North West,South East","No School,Nursery And Pre,Post Primary,Quaranic","Nursery And Pre,Primary,Secondary,Teacher Training,National Certificate",,,,
NGA,2019,exante,27,1.119,2.25," North Central,North West","Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level","No School,Primary,Teacher Training,Quaranic",,,"Catholic,Traditional",
NGA,2019,exante,28,1.231,2.57," North Central,North West","Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level","No School,Primary,Teacher Training,Quaranic",,,Islam,
NGA,2019,exante,29,1.414,1.26," North Central,North West","Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level","Secondary,National Certificate,Vocational/Technical/Commercial,Univerity Level",,,,
NGA,2019,exante,32,0.876,1.53,"North East,South East","Primary,National Certificate","No School,Quaranic",,,,
NGA,2019,exante,33,1.097,1.37,"North East,South East","Primary,National Certificate","Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level",,,,
NGA,2019,exante,34,1.104,2.31,"North East,South East","Secondary,Teacher Training,Vocational/Technical/Commercial,Univerity Level",,,,,
NGA,2019,exante,37,1.184,6.03,"South South,South West","No School,Primary,Quaranic",,,,,Female
NGA,2019,exante,39,1.253,4.58,"South South,South West","No School,Quaranic",,,,,Male
NGA,2019,exante,40,1.425,1.93,"South South,South West",Primary,,,,,Male
NGA,2019,exante,41,1.59,3.93,"South South,South West","Nursery And Pre,Post Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level",,,,,
