Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
NPL,2011,exante,5,0.777,23.56,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Terai - Eastern","Class 1,Class 2,Class 3,Illiterate",,,,"Hindu,Islam,Kirant,Jain,Shikh,Bahai",
NPL,2011,exante,6,0.981,2.24,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Terai - Eastern","Class 1,Class 2,Class 3,Illiterate",,,,"Bouddha,Other Religion",
NPL,2011,exante,7,0.598,17.1,"Rural Hills - Mid And Far West,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 1,Class 2,Class 3,Illiterate",,,,,
NPL,2011,exante,9,1.802,2.93,Urban - Kathmandu,"Class 1,Class 2,Class 3,Illiterate",,,,,
NPL,2011,exante,10,0.997,17.06,"Urban - Hill,Rural Hills - Central,Rural Hills - Western","Class 1,Class 2,Class 3,Illiterate",,,,,
NPL,2011,exante,14,1.15,13.01,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Hills - Central,Rural Terai - Eastern","Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 1,Class 2,Class 4,Class 10,Master Level Or Higher,Illiterate,Dk",,,,
NPL,2011,exante,16,0.718,4.2,"Rural Hills - Mid And Far West,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 4,Class 6,Class 8,Class 9,Literate (Levelless),Dk","Class 1,Class 2,Class 4,Class 10,Master Level Or Higher,Illiterate,Dk",,,,
NPL,2011,exante,17,1.08,1.23,"Rural Hills - Mid And Far West,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 5,Class 7,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher","Class 1,Class 2,Class 4,Class 10,Master Level Or Higher,Illiterate,Dk",,,,
NPL,2011,exante,18,1.683,8.91,"Urban - Kathmandu,Urban - Hill,Rural Hills - Western","Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 1,Class 2,Class 4,Class 10,Master Level Or Higher,Illiterate,Dk",,,,
NPL,2011,exante,21,1.408,3.26,"Mountains,Rural Hills - Eastern,Rural Hills - Central,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 4,Class 5,Class 6,Class 8,Class 10,Master Level Or Higher,Professional Degree,Literate (Levelless)","Class 3,Class 5,Class 6,Class 7,Class 8,Class 9,Slc,Intermediate/Class 12,Bachelor Level,Literate (Levelless)",,,,
NPL,2011,exante,22,2.523,1.29,"Mountains,Rural Hills - Eastern,Rural Hills - Central,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 7,Class 9,Slc,Intermediate/Class 12,Bachelor Level,Dk","Class 3,Class 5,Class 6,Class 7,Class 8,Class 9,Slc,Intermediate/Class 12,Bachelor Level,Literate (Levelless)",,,,
NPL,2011,exante,23,2.585,5.21,"Urban - Kathmandu,Urban - Hill,Urban - Terai,Rural Hills - Western","Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 3,Class 5,Class 6,Class 7,Class 8,Class 9,Slc,Intermediate/Class 12,Bachelor Level,Literate (Levelless)",,,,
