Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PER,2011,exante,7,0.584,9.66,"Amazonas-San Martin-Ucayali,Cajamarca,Huánuco,Ica,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,6 Years Of Education",,,,"White,Mix-Race",
PER,2011,exante,8,0.742,1.81,"Anchash,Apurimac,Ayacucho,Huancavelica,Junin-Pasco,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,6 Years Of Education",,,,"White,Mix-Race",
PER,2011,exante,11,0.393,4.57,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Huánuco,Ica,Loreto",,,,,"Indigenous,Afro-Descendant,Other",
PER,2011,exante,13,0.401,2.07,"Anchash,Ayacucho,Huancavelica,Junin-Pasco,La Libertad,Lambayeque,Lima,Piura-Tumbes,Puno",,,,,"Indigenous,Afro-Descendant,Other",Female
PER,2011,exante,14,0.487,4.98,"Anchash,Ayacucho,Huancavelica,Junin-Pasco,La Libertad,Lambayeque,Lima,Piura-Tumbes,Puno",,,,,"Indigenous,Afro-Descendant,Other",Male
PER,2011,exante,16,0.742,1.76,"Amazonas-San Martin-Ucayali,Huancavelica,Junin-Pasco,Lima","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,6 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",
PER,2011,exante,19,0.569,2.49,"Anchash,Ayacucho,La Libertad,Piura-Tumbes,Puno","1 Years Of Education,3 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",
PER,2011,exante,20,0.438,2.08,"Apurimac,Cajamarca,Huánuco,Ica,Lambayeque,Loreto","1 Years Of Education,3 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",
PER,2011,exante,21,0.648,1.62,"Anchash,Apurimac,Ayacucho,Cajamarca,Huánuco,Ica,La Libertad,Lambayeque,Loreto,Piura-Tumbes,Puno","2 Years Of Education,4 Years Of Education,6 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",
PER,2011,exante,24,0.659,3.83,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Huánuco,Ica,Loreto","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,6 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Mix-Race",
