Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PL,2019,exante,6,0.88,4.13,,Unknown,,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Craft/Trades,Elementary",,
PL,2019,exante,7,0.958,4.7,,"Medium,High",,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Craft/Trades,Elementary",,
PL,2019,exante,8,0.801,7.06,,"Unknown,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Elementary","Agriculture,Plant Operator",,
PL,2019,exante,9,0.836,18.37,,Low,,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PL,2019,exante,11,1.095,5.53,,,,"Manager,Professional,Technician","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PL,2019,exante,13,0.915,12.96,,,"Unknown,Low","Clerical,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PL,2019,exante,15,1.001,10.33,,,"Medium,High","Clerical,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,Male
PL,2019,exante,16,0.952,12.25,,,"Medium,High","Clerical,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,Female
PL,2019,exante,18,1.137,14.63,,,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
PL,2019,exante,20,1.234,5.27,,,"Low,Medium","Manager,Professional,Technician","Manager,Professional,Technician,Clerical",,
PL,2019,exante,21,1.4,4.77,,,High,"Manager,Professional,Technician","Manager,Professional,Technician,Clerical",,
