Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PT,2005,exante,6,0.835,5.35,,"Unknown,Low",Unknown,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
PT,2005,exante,8,0.703,23.7,,"Unknown,Low",Low,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Technician,Agriculture,Craft/Trades",,
PT,2005,exante,9,0.776,12.79,,"Unknown,Low",Low,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Clerical,Service,Plant Operator,Elementary",,
PT,2005,exante,10,0.854,10.08,,Medium,"Unknown,Low","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
PT,2005,exante,13,0.944,19.68,,"Unknown,Medium","Medium,High","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2005,exante,14,0.753,3.82,,Low,"Medium,High","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2005,exante,15,1.401,1.95,,"Unknown,Low,Medium","Medium,High","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
PT,2005,exante,17,0.986,5.42,,"Unknown,Low,Medium","Unknown,Low","Manager,Professional,Technician,Clerical,Service,Armed Forces",,,
PT,2005,exante,19,1.552,3.62,,"Unknown,Low,Medium","Medium,High","Manager,Professional,Technician,Clerical,Service,Armed Forces","Dead/Unknown/Not Working,Professional,Technician",,
PT,2005,exante,20,1.186,5.29,,"Unknown,Low,Medium","Medium,High","Manager,Professional,Technician,Clerical,Service,Armed Forces","Manager,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2005,exante,23,2.132,4.04,,High,"Unknown,Low,Medium,High",,"Dead/Unknown/Not Working,Manager,Professional,Technician",,
PT,2005,exante,24,2.764,1.25,,High,,,"Dead/Unknown/Not Working,Manager,Professional,Technician",,
PT,2005,exante,25,1.381,3.02,,High,,,"Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
