Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
RO,2019,exante,6,0.8,2.95,,Unknown,,"Dead/Unknown/Not Working,Professional,Technician","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,exante,7,0.656,3.07,,Low,,"Dead/Unknown/Not Working,Professional,Technician","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,exante,9,0.914,2.82,,"Unknown,Low",,"Manager,Clerical,Service,Plant Operator","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,exante,10,0.837,3.16,,"Unknown,Low",,Craft/Trades,"Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,exante,12,1.036,17.64,,"Medium,High","Unknown,Medium,High","Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,exante,14,0.921,4.39,,"Medium,High",Low,"Dead/Unknown/Not Working,Professional,Craft/Trades","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,exante,15,1.02,3.12,,"Medium,High",Low,"Manager,Technician,Clerical,Service,Plant Operator","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,exante,18,0.665,8.07,,"Low,High",,"Agriculture,Elementary","Dead/Unknown/Not Working,Elementary",,
RO,2019,exante,19,0.825,4.7,,Medium,,"Agriculture,Elementary","Dead/Unknown/Not Working,Elementary",,
RO,2019,exante,20,0.605,10.61,,,,"Agriculture,Elementary",Agriculture,,
RO,2019,exante,23,1.382,7.62,,,,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
RO,2019,exante,25,1.118,25.36,,,,"Dead/Unknown/Not Working,Technician,Clerical,Craft/Trades,Plant Operator,Elementary","Service,Craft/Trades,Plant Operator",,
RO,2019,exante,26,0.948,1.63,,,,"Service,Agriculture","Service,Craft/Trades,Plant Operator",,
RO,2019,exante,27,1.718,4.88,,,,"Manager,Professional","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator",,
