Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
UGA,2012,exante,6,0.779,11.95,,"No Formal Education,Currently Attending School,Primary","No Formal Education,Currently Attending School,Less Than Primary","Agricultural Farming And Fishery Workers,Casual Labourer,Paid Employee,Unemployed",,"Babwisi,Bantu,Banyabindi,Ik (Teuso),Indian,Mvuba,Other",
UGA,2012,exante,8,0.916,1.38,,"No Formal Education,Currently Attending School,Primary",Primary,"Agricultural Farming And Fishery Workers,Casual Labourer,Paid Employee",,"Babwisi,Bantu,Banyabindi,Ik (Teuso),Indian,Mvuba,Other",
UGA,2012,exante,9,0.942,18.27,,"No Formal Education,Currently Attending School,Primary",Primary,Unemployed,,"Babwisi,Bantu,Banyabindi,Ik (Teuso),Indian,Mvuba,Other",
UGA,2012,exante,10,1.032,1.86,,"No Formal Education,Currently Attending School,Primary","No Formal Education,Currently Attending School,Less Than Primary,Primary","Non-Agricultural,Other Unpaid Family Work",,"Babwisi,Bantu,Banyabindi,Ik (Teuso),Indian,Mvuba,Other",
UGA,2012,exante,15,0.345,1.05,,No Formal Education,"No Formal Education,Currently Attending School,Less Than Primary","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural,Paid Employee","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural","Banyarwanda,Ethur,Niloc,Nilohamites,Nilotic,Nubi",
UGA,2012,exante,16,0.3,1.59,,No Formal Education,"No Formal Education,Currently Attending School,Less Than Primary","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural,Paid Employee","Other Unpaid Family Work,Paid Employee,Unemployed","Banyarwanda,Ethur,Niloc,Nilohamites,Nilotic,Nubi",
UGA,2012,exante,17,0.435,4.88,,No Formal Education,"No Formal Education,Currently Attending School,Less Than Primary","Other Unpaid Family Work,Unemployed",,"Banyarwanda,Ethur,Niloc,Nilohamites,Nilotic,Nubi",
UGA,2012,exante,18,1.048,1.33,,No Formal Education,Primary,,,"Banyarwanda,Ethur,Niloc,Nilohamites,Nilotic,Nubi",
UGA,2012,exante,21,0.785,1.0,,"Currently Attending School,Primary","No Formal Education,Currently Attending School,Less Than Primary,Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural,Other Unpaid Family Work","Banyarwanda,Nilotic",
UGA,2012,exante,22,0.784,4.37,,"Currently Attending School,Primary","No Formal Education,Currently Attending School,Less Than Primary,Primary",,"Paid Employee,Unemployed","Banyarwanda,Nilotic",
UGA,2012,exante,23,0.603,14.24,,"Currently Attending School,Primary","No Formal Education,Currently Attending School,Less Than Primary,Primary",,,"Ethur,Niloc,Nilohamites,Nubi",
UGA,2012,exante,29,0.552,2.33,,Less Than Primary,No Formal Education,,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Unemployed",,
UGA,2012,exante,30,0.761,3.93,,Less Than Primary,Less Than Primary,,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Unemployed",,
UGA,2012,exante,31,1.321,2.26,,"Completed Post Primary Specialized Training Or Certificate,O-Level","No Formal Education,Less Than Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Unemployed",,
UGA,2012,exante,33,0.761,4.5,,"Less Than Primary,Completed Post Primary Specialized Training Or Certificate,O-Level","Currently Attending School,Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Unemployed","Babwisi,Banyarwanda,Niloc,Nilohamites,Nilotic,Nubi",
UGA,2012,exante,34,1.314,7.15,,"Less Than Primary,Completed Post Primary Specialized Training Or Certificate,O-Level","Currently Attending School,Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Unemployed","Bantu,Other",
UGA,2012,exante,35,1.646,3.31,,"A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University","No Formal Education,Currently Attending School,Less Than Primary,Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Unemployed",,
UGA,2012,exante,36,1.18,1.01,,"Less Than Primary,Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University","No Formal Education,Currently Attending School,Less Than Primary,Primary",,"Non-Agricultural,Paid Employee",,
UGA,2012,exante,39,1.451,10.28,,,"Completed Post Primary Specialized Training Or Certificate,O-Level,Completed Post Secondary Specialized Training Or Diploma,Completed University",,,"Babukusu,Babwisi,Bantu,Banyarwanda,Ik (Teuso),Niloc,Nilohamites",
UGA,2012,exante,40,2.599,1.03,,,"A-Level,Completed Degree And Above",,,"Babukusu,Babwisi,Bantu,Banyarwanda,Ik (Teuso),Niloc,Nilohamites",
UGA,2012,exante,41,2.12,2.29,,,"Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University",,,"Nilotic,Nubi",
