Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
USA,1982,exante,5,0.702,4.43,,"0-5 Grades,Advanced College Degree","0-5 Grades,6-8 Grades,9-11 Grades","Low,Middle",,"White,Asian, Pac. Islander,Other",
USA,1982,exante,6,0.856,24.09,,"6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College,College Degree","0-5 Grades,6-8 Grades,9-11 Grades","Low,Middle",,"White,Asian, Pac. Islander,Other",
USA,1982,exante,7,1.229,3.14,,,"0-5 Grades,6-8 Grades,9-11 Grades",High,,"White,Asian, Pac. Islander,Other",
USA,1982,exante,11,0.685,1.18,"Northeast,North Central,West",,"0-5 Grades,6-8 Grades","Low,High",,"Black,Am. Indian, Aleut, Eskimo,Hispanic",
USA,1982,exante,13,0.503,8.09,"South,Foreign Country",,"0-5 Grades,6-8 Grades","Low,High",,"Black,Am. Indian, Aleut, Eskimo,Hispanic",Female
USA,1982,exante,14,0.615,1.93,"South,Foreign Country",,"0-5 Grades,6-8 Grades","Low,High",,"Black,Am. Indian, Aleut, Eskimo,Hispanic",Male
USA,1982,exante,15,0.628,3.09,,,"0-5 Grades,6-8 Grades",Middle,,"Black,Am. Indian, Aleut, Eskimo,Hispanic",
USA,1982,exante,16,0.664,7.77,,,9-11 Grades,,,"Black,Am. Indian, Aleut, Eskimo,Hispanic",
USA,1982,exante,20,1.137,14.46,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","Low,Middle",,"White,Asian, Pac. Islander,Other",
USA,1982,exante,21,0.978,9.24,,"0-5 Grades,6-8 Grades,9-11 Grades","High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","Low,Middle",,"White,Asian, Pac. Islander,Other",
USA,1982,exante,22,0.877,8.67,,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","Low,Middle",,"Black,Am. Indian, Aleut, Eskimo,Hispanic",
USA,1982,exante,25,1.305,11.2,,,"High School,Some College,College Degree",High,,White,
USA,1982,exante,26,1.278,1.04,,,"High School,Some College,College Degree",High,,"Black,Am. Indian, Aleut, Eskimo,Asian, Pac. Islander,Hispanic,Other",
USA,1982,exante,27,1.647,1.66,,,"12 Grades + Non Academic Training,Advanced College Degree",High,,,
