Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ZAF,2017,exante,7,0.466,8.04,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education",,"Professionals,Service And Sales,Craft,Operators,Elementary",African,Female
ZAF,2017,exante,8,0.364,28.54,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education",,"Technicians And Professionals,Clerical Support,Farm, Forest, Fishery,Others",African,Female
ZAF,2017,exante,9,0.504,17.39,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education",,,African,Male
ZAF,2017,exante,10,0.567,6.55,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education",,,"Asian/Indian,Coloured",
ZAF,2017,exante,13,0.617,7.69,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Military,Service And Sales,Farm, Forest, Fishery,Craft,Others",African,
ZAF,2017,exante,14,0.737,1.43,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Military,Service And Sales,Farm, Forest, Fishery,Craft,Others","Asian/Indian,Coloured",
ZAF,2017,exante,16,0.806,5.44,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Managers,Technicians And Professionals,Elementary","African,Asian/Indian,Coloured",
ZAF,2017,exante,17,1.177,1.09,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","5 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Professionals,Clerical Support,Operators","African,Asian/Indian,Coloured",
ZAF,2017,exante,18,1.36,15.59,,"8 Grade/Years Of Education,10 Grade/Years Of Education,12 Grade/Years Of Education",,,,"African,Asian/Indian,Coloured",
ZAF,2017,exante,19,3.096,8.23,,,,,,White,
