Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
AT,2011,expost,4,0.959,44.06,Local,,"Unknown,Low,Medium","Dead/Unknown/Not Working,Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
AT,2011,expost,5,1.173,4.5,Local,,"Unknown,Low,Medium","Professional,Technician,Clerical",,,
AT,2011,expost,8,1.155,12.27,Local,,High,"Dead/Unknown/Not Working,Technician,Clerical,Service,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,Male
AT,2011,expost,9,1.35,4.62,Local,,High,"Manager,Professional,Agriculture",,,Male
AT,2011,expost,10,1.126,18.26,Local,,High,,,,Female
AT,2011,expost,14,0.772,2.2,European Union,,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
AT,2011,expost,16,0.689,6.53,Other,,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Clerical,Agriculture,Craft/Trades",,
AT,2011,expost,17,0.765,1.32,Other,,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Service,Plant Operator,Elementary",,
AT,2011,expost,18,0.833,4.84,"European Union,Other",,High,"Dead/Unknown/Not Working,Professional,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
AT,2011,expost,19,1.191,1.4,"European Union,Other",,,"Manager,Clerical",,,
