Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BE,2019,expost,6,0.815,5.95,"Local,European Union","Unknown,Low",,"Dead/Unknown/Not Working,Armed Forces","Dead/Unknown/Not Working,Professional,Technician,Agriculture,Armed Forces",,
BE,2019,expost,7,0.92,3.27,"Local,European Union","Unknown,Low",,"Dead/Unknown/Not Working,Armed Forces","Manager,Clerical,Service,Craft/Trades,Plant Operator,Elementary",,
BE,2019,expost,8,0.922,14.33,"Local,European Union","Unknown,Low",,"Craft/Trades,Elementary",,,
BE,2019,expost,10,1.003,16.07,Local,"Unknown,Low",,"Manager,Professional,Technician,Clerical,Service,Agriculture,Plant Operator",,,
BE,2019,expost,11,0.854,1.8,European Union,"Unknown,Low",,"Manager,Professional,Technician,Clerical,Service,Agriculture,Plant Operator",,,
BE,2019,expost,15,1.05,18.41,Local,Medium,"Unknown,Low,Medium",,,,
BE,2019,expost,16,1.144,6.9,Local,High,"Unknown,Low,Medium",,,,
BE,2019,expost,17,1.084,2.27,European Union,"Medium,High","Unknown,Low,Medium",,,,
BE,2019,expost,20,1.198,11.48,Local,"Medium,High",High,"Dead/Unknown/Not Working,Professional,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,,
BE,2019,expost,22,1.377,4.0,Local,"Medium,High",High,"Manager,Technician,Agriculture,Elementary","Dead/Unknown/Not Working,Professional,Clerical,Service",,
BE,2019,expost,23,1.352,1.01,Local,"Medium,High",High,"Manager,Technician,Agriculture,Elementary","Manager,Technician,Agriculture,Plant Operator,Elementary",,
BE,2019,expost,24,1.17,1.63,European Union,"Medium,High",High,,,,
BE,2019,expost,28,0.649,1.29,Other,,"Unknown,Medium",,"Dead/Unknown/Not Working,Manager,Agriculture,Craft/Trades,Elementary",,
BE,2019,expost,29,0.613,8.41,Other,,Low,,"Dead/Unknown/Not Working,Manager,Agriculture,Craft/Trades,Elementary",,
BE,2019,expost,30,0.818,1.81,Other,,"Unknown,Low,Medium",,"Professional,Technician,Clerical,Service,Plant Operator",,
BE,2019,expost,31,1.044,1.36,Other,,High,,,,
