Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BG,2011,expost,4,0.474,2.7,,,"Unknown,Low","Dead/Unknown/Not Working,Agriculture,Elementary",,,
BG,2011,expost,5,0.725,25.57,,,Medium,"Dead/Unknown/Not Working,Agriculture,Elementary",,,
BG,2011,expost,10,0.777,2.2,,"Low,Medium","Unknown,Low,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",Dead/Unknown/Not Working,,
BG,2011,expost,11,1.032,1.03,,High,"Unknown,Low,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",Dead/Unknown/Not Working,,
BG,2011,expost,12,0.867,6.11,,,"Unknown,Low,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Manager,Clerical,Elementary",,
BG,2011,expost,13,0.932,10.58,,,"Unknown,Low,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Professional,Technician,Service,Craft/Trades,Plant Operator",,
BG,2011,expost,14,0.784,4.51,,,"Unknown,Low,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",Agriculture,,
BG,2011,expost,17,0.996,13.13,,"Unknown,Medium,High",High,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,
BG,2011,expost,19,1.218,21.63,,"Unknown,High",High,,"Manager,Professional,Technician,Clerical,Service,Armed Forces",,
BG,2011,expost,21,1.108,1.51,,Medium,High,"Dead/Unknown/Not Working,Manager,Professional,Technician,Service,Agriculture,Craft/Trades,Armed Forces","Manager,Professional,Technician,Clerical,Service,Armed Forces",,
BG,2011,expost,22,0.95,1.66,,Medium,High,"Clerical,Plant Operator,Elementary","Manager,Professional,Technician,Clerical,Service,Armed Forces",,
BG,2011,expost,23,1.558,9.38,,Low,High,,,,
