Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHI,2016,expost,6,1.081,5.68,"Hebei,Shanxi,Liaoning,Jilin,Shandong,Henan,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Shaanxi,Gansu",,"Illiterate/Semi-Literate,Primary School,Junior High School","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2016,expost,7,1.492,1.15,"Hebei,Shanxi,Liaoning,Jilin,Shandong,Henan,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Shaanxi,Gansu",,"Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College,4-Year College/Bachelor's Degree","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2016,expost,8,0.821,2.4,"Hebei,Shanxi,Liaoning,Jilin,Shandong,Henan,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Shaanxi,Gansu",,,"Agricultural, Forestry And Fishery Workers,Unemployed","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2016,expost,14,0.717,16.04,"Hebei,Liaoning,Jilin,Shandong,Henan,Sichuan,Yunnan,Shaanxi","Illiterate/Semi-Literate,4-Year College/Bachelor's Degree",,"Armed Forces,Clerks,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers","Agricultural, Forestry And Fishery Workers","Han,Tibetan,Miao,Zhuang,Bouyei,Other",
CHI,2016,expost,15,1.078,1.19,"Hebei,Liaoning,Jilin,Shandong,Henan,Sichuan,Yunnan,Shaanxi","Illiterate/Semi-Literate,4-Year College/Bachelor's Degree",,"Managers,Professionals,Technicians And Associate Professionals,Services And Sales Workers,Elementary Occupations,Unemployed","Agricultural, Forestry And Fishery Workers","Han,Tibetan,Miao,Zhuang,Bouyei,Other",
CHI,2016,expost,17,0.75,12.32,"Hebei,Liaoning,Henan,Yunnan","Primary School,Junior High School,Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College",,,"Agricultural, Forestry And Fishery Workers","Han,Tibetan,Miao,Zhuang,Bouyei,Other",
CHI,2016,expost,18,0.72,5.43,"Jilin,Shandong,Sichuan,Shaanxi","Primary School,Junior High School,Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College",,,"Agricultural, Forestry And Fishery Workers","Han,Tibetan,Miao,Zhuang,Bouyei,Other",
CHI,2016,expost,19,0.746,1.13,"Hebei,Liaoning,Jilin,Shandong,Henan,Sichuan,Yunnan,Shaanxi",,,,"Agricultural, Forestry And Fishery Workers","Hui,Korean,Manchu",
CHI,2016,expost,23,1.433,2.3,"Shanxi,Guangxi Zhuang Autonomous Region",Illiterate/Semi-Literate,,,"Agricultural, Forestry And Fishery Workers","Han,Hui,Tibetan,Bouyei,Other",
CHI,2016,expost,24,1.014,3.26,"Shanxi,Guangxi Zhuang Autonomous Region","Primary School,Junior High School,Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College,4-Year College/Bachelor's Degree",,,"Agricultural, Forestry And Fishery Workers","Han,Hui,Tibetan,Bouyei,Other",
