Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHL,2015,expost,7,0.65,6.53,"Tarapca,Valparaiso,Libertador,Maule,Metropolitana De Santiago","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education",,,,Female
CHL,2015,expost,8,0.738,1.37,"Tarapca,Valparaiso,Libertador,Maule,Metropolitana De Santiago","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education","7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,expost,10,0.716,5.46,"Antofagasta,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,expost,11,0.746,2.01,"Atacama,Coquimbo","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,expost,13,0.733,3.57,"Tarapca,Antofagasta,Atacama,Coquimbo,Valparaiso,Libertador,Maule,Metropolitana De Santiago,Arica And Perinacota","1 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Male
CHL,2015,expost,15,0.877,4.47,"Tarapca,Antofagasta,Atacama,Coquimbo,Valparaiso,Arica And Perinacota","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Male
CHL,2015,expost,16,0.89,2.48,"Libertador,Maule,Metropolitana De Santiago","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Male
CHL,2015,expost,20,0.552,5.52,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education",1 Years Of Education,,,"Aymara,Atacameno,Coya,Kawaskar,Diaguita,Other",Female
CHL,2015,expost,22,0.609,2.0,"Biobio,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education",1 Years Of Education,,,"Aymara,Atacameno,Coya,Kawaskar,Diaguita,Other",Male
CHL,2015,expost,23,0.611,2.16,"Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education",1 Years Of Education,,,"Aymara,Atacameno,Coya,Kawaskar,Diaguita,Other",Male
CHL,2015,expost,25,0.489,1.29,"Biobio,Araucania,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education",1 Years Of Education,,,"Quechua,Mapuche",
CHL,2015,expost,26,0.452,1.36,Los Lagos,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education",1 Years Of Education,,,"Quechua,Mapuche",
CHL,2015,expost,30,0.593,4.71,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education","2 Years Of Education,3 Years Of Education,5 Years Of Education",,,"Aymara,Rapa Nui,Quechua,Diaguita,Other",Female
CHL,2015,expost,31,0.674,3.98,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education","4 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,"Aymara,Rapa Nui,Quechua,Diaguita,Other",Female
CHL,2015,expost,32,0.484,1.6,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,"Mapuche,Atacameno,Kawaskar",Female
