Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CY,2011,expost,7,0.851,5.47,Local,"Unknown,Medium,High","Unknown,Low","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
CY,2011,expost,8,0.959,49.15,Local,"Unknown,Medium,High",Medium,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
CY,2011,expost,9,0.88,3.68,European Union,"Unknown,Medium,High","Unknown,Low,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
CY,2011,expost,10,1.126,7.9,"Local,European Union","Unknown,Medium,High","Unknown,Low,Medium","Manager,Professional,Technician,Clerical,Armed Forces",,,
CY,2011,expost,11,0.734,3.6,"Local,European Union",Low,"Unknown,Low,Medium",,,,
CY,2011,expost,14,1.554,4.66,Local,Low,High,,,,
CY,2011,expost,15,1.254,9.85,Local,"Medium,High",High,,,,
CY,2011,expost,16,0.917,3.76,European Union,,High,,,,
CY,2011,expost,18,0.76,9.95,Other,"Unknown,Low,Medium,High",,,,,
CY,2011,expost,19,0.967,1.99,Other,,,,,,
