Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CZ,2005,expost,6,0.729,3.38,,"Unknown,Medium",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Elementary",,
CZ,2005,expost,7,0.828,18.79,,High,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Elementary",,
CZ,2005,expost,9,0.941,16.34,,"Unknown,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Service,Agriculture,Craft/Trades,Plant Operator,Armed Forces",,Male
CZ,2005,expost,10,0.895,16.78,,"Unknown,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Service,Agriculture,Craft/Trades,Plant Operator,Armed Forces",,Female
CZ,2005,expost,11,1.02,12.08,,"Unknown,Medium,High",,"Manager,Professional,Technician,Clerical,Service,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
CZ,2005,expost,13,1.103,19.08,,Unknown,,,"Manager,Professional,Technician,Clerical",,
CZ,2005,expost,14,1.226,4.76,,"Medium,High",,,"Manager,Professional,Technician,Clerical",,
CZ,2005,expost,16,1.63,2.54,,,,,,,
CZ,2005,expost,18,1.137,1.02,,,,,"Dead/Unknown/Not Working,Manager,Craft/Trades,Plant Operator,Elementary",,
CZ,2005,expost,19,1.294,5.22,,,,,"Professional,Technician,Clerical,Service,Agriculture,Armed Forces",,
