Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
EL,2005,expost,5,0.866,6.64,,"Unknown,Medium,High","Unknown,Low","Dead/Unknown/Not Working,Agriculture",,,
EL,2005,expost,6,0.755,18.15,,Low,"Unknown,Low","Dead/Unknown/Not Working,Agriculture",,,
EL,2005,expost,7,0.913,11.56,,,"Unknown,Low","Service,Craft/Trades,Plant Operator,Elementary",,,
EL,2005,expost,12,0.931,19.51,"Local,European Union",,Medium,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator",,
EL,2005,expost,13,0.933,2.77,"Local,European Union",,Medium,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary","Manager,Technician,Clerical,Craft/Trades,Elementary",,
EL,2005,expost,14,0.989,9.53,"Local,European Union",,Medium,"Service,Craft/Trades",,,
EL,2005,expost,16,1.059,3.31,"Local,European Union",,High,"Dead/Unknown/Not Working,Service,Agriculture,Elementary",,,
EL,2005,expost,17,1.203,3.92,"Local,European Union",,High,"Craft/Trades,Plant Operator",,,
EL,2005,expost,18,0.757,3.39,Other,,"Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
EL,2005,expost,20,1.116,11.5,,,"Unknown,Low,Medium","Manager,Professional,Technician,Clerical,Armed Forces",,,
EL,2005,expost,23,1.442,5.22,Local,,High,"Manager,Professional,Technician,Clerical,Armed Forces",,,
EL,2005,expost,24,1.74,3.37,Local,,,"Manager,Professional,Technician,Clerical,Armed Forces",,,
EL,2005,expost,25,0.96,1.15,"European Union,Other",,High,"Manager,Professional,Technician,Clerical,Armed Forces",,,
