Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ES,2011,expost,7,0.894,27.82,Local,"Unknown,Low,Medium","Unknown,Medium,High","Dead/Unknown/Not Working,Agriculture,Elementary",,,
ES,2011,expost,8,0.971,14.57,Local,"Unknown,Low,Medium","Unknown,Medium,High",Craft/Trades,,,
ES,2011,expost,9,1.064,16.13,Local,"Unknown,Low,Medium","Unknown,Medium,High","Service,Plant Operator",,,
ES,2011,expost,11,1.291,2.39,Local,High,"Unknown,Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Technician,Clerical,Agriculture",,
ES,2011,expost,12,1.417,1.0,Local,High,"Unknown,Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Service,Craft/Trades,Plant Operator,Elementary",,
ES,2011,expost,14,0.683,3.87,Local,,Low,"Dead/Unknown/Not Working,Agriculture,Elementary",,,
ES,2011,expost,15,0.782,1.91,Local,,Low,"Service,Craft/Trades,Plant Operator",,,
ES,2011,expost,17,0.51,1.04,"European Union,Other",,"Unknown,Low","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
ES,2011,expost,18,0.664,6.62,"European Union,Other",,"Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
ES,2011,expost,22,1.145,11.44,Local,"Low,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Manager,Service,Elementary",,
ES,2011,expost,23,1.341,1.06,Local,"Low,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces","Professional,Technician,Clerical,Agriculture,Craft/Trades,Plant Operator",,
ES,2011,expost,24,0.895,1.09,"European Union,Other","Low,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces",,,
ES,2011,expost,27,1.39,7.59,Local,High,"Low,Medium,High","Manager,Professional,Technician,Clerical,Armed Forces",,,
ES,2011,expost,28,1.8,2.33,Local,High,,"Manager,Professional,Technician,Clerical,Armed Forces",,,
ES,2011,expost,29,1.204,1.12,"European Union,Other",High,,"Manager,Professional,Technician,Clerical,Armed Forces",,,
