Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GNB,2018,expost,5,1.362,5.8,,,,"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water","Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Industry, Electricity, Water,Unemployed","Fula,Balanta,Felupe",
GNB,2018,expost,6,1.371,1.41,,,,"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water","Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Industry, Electricity, Water,Unemployed","Beafada,Bijagos",
GNB,2018,expost,7,1.005,5.43,,,,"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water","Btp,Extractive Industry,Agriculture, Livestock And Fisheries","Fula,Balanta,Beafada,Bijagos,Felupe",
GNB,2018,expost,11,0.914,2.54,,"No School,Secondary (10-12 Grade),Post Secondary",,"Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed","Services, Education, Entertainment,Transport,Commerce,Unemployed","Fula,Beafada",
GNB,2018,expost,12,0.793,18.81,,"No School,Secondary (10-12 Grade),Post Secondary",,"Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed","Industry, Electricity, Water,Extractive Industry,Agriculture, Livestock And Fisheries","Fula,Beafada",
GNB,2018,expost,13,0.997,2.57,,"Primary (1-9 Grade),Technical/Professional",,"Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed",,"Fula,Beafada",
GNB,2018,expost,16,0.784,20.64,,,No School,"Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed",,Balanta,
GNB,2018,expost,17,0.862,1.58,,,"Primary (1-9 Grade),Secondary (10-12 Grade)","Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed",,Balanta,
GNB,2018,expost,19,1.209,1.01,,,,"Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed","Services, Education, Entertainment,Commerce,Industry, Electricity, Water,Extractive Industry,Unemployed","Bijagos,Felupe",
GNB,2018,expost,21,0.687,4.49,,,,"Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed","Restaurant/Hotel,Agriculture, Livestock And Fisheries",Bijagos,
GNB,2018,expost,22,0.736,1.13,,,,"Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed","Restaurant/Hotel,Agriculture, Livestock And Fisheries",Felupe,
GNB,2018,expost,25,1.182,4.14,,No School,,,"Services, Education, Entertainment,Restaurant/Hotel,Commerce,Industry, Electricity, Water,Unemployed","Mandinga,Papel,Manjaco,Mancanha",
GNB,2018,expost,28,1.224,1.09,,No School,,"Services, Education, Entertainment,Transport,Commerce,Industry, Electricity, Water,Extractive Industry","Extractive Industry,Agriculture, Livestock And Fisheries","Mandinga,Papel",
GNB,2018,expost,29,0.876,12.3,,No School,,"Btp,Agriculture, Livestock And Fisheries,Unemployed","Extractive Industry,Agriculture, Livestock And Fisheries","Mandinga,Papel",
GNB,2018,expost,30,1.058,5.11,,No School,,,"Extractive Industry,Agriculture, Livestock And Fisheries","Manjaco,Mancanha",
GNB,2018,expost,33,1.421,2.91,,"Primary (1-9 Grade),Secondary (10-12 Grade),Technical/Professional,Post Secondary",No School,"Services, Education, Entertainment,Commerce,Industry, Electricity, Water",,"Mandinga,Papel,Manjaco,Mancanha",
GNB,2018,expost,34,1.669,3.44,,"Primary (1-9 Grade),Secondary (10-12 Grade),Technical/Professional,Post Secondary","Primary (1-9 Grade),Secondary (10-12 Grade),Technical/Professional,Post Secondary","Services, Education, Entertainment,Commerce,Industry, Electricity, Water",,"Mandinga,Papel,Manjaco,Mancanha",
GNB,2018,expost,36,1.622,1.17,,"Primary (1-9 Grade),Secondary (10-12 Grade),Technical/Professional,Post Secondary",,"Restaurant/Hotel,Transport,Btp,Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed","Services, Education, Entertainment,Restaurant/Hotel,Transport,Industry, Electricity, Water,Extractive Industry,Unemployed","Mandinga,Papel,Manjaco,Mancanha",
GNB,2018,expost,37,1.227,4.41,,"Primary (1-9 Grade),Secondary (10-12 Grade),Technical/Professional,Post Secondary",,"Restaurant/Hotel,Transport,Btp,Extractive Industry,Agriculture, Livestock And Fisheries,Unemployed","Commerce,Agriculture, Livestock And Fisheries","Mandinga,Papel,Manjaco,Mancanha",
