Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GTM,2006,expost,6,1.041,1.96,Guatemala,,,,,,
GTM,2006,expost,8,0.632,1.57,"Sacatepequez,Escuintla,Other Country",,,,,"White,Indigenous",
GTM,2006,expost,10,0.967,1.66,"Sacatepequez,Other Country",,,,,Mix-Race,
GTM,2006,expost,11,0.713,2.2,Escuintla,,,,,Mix-Race,
GTM,2006,expost,14,0.788,2.3,Santa Rosa,,,,,Mix-Race,
GTM,2006,expost,15,0.716,4.62,"Suchitepequez,Retalhuleu,Peten",,,,,Mix-Race,
GTM,2006,expost,17,0.571,1.31,"Santa Rosa,Suchitepequez",,,,,Indigenous,
GTM,2006,expost,18,0.674,1.42,"Retalhuleu,Peten",,,,,Indigenous,
GTM,2006,expost,22,0.592,5.79,"El Progreso,Quetzaltenango,Zacapa",,,,,"Mix-Race,Afro-Descendant",
GTM,2006,expost,23,0.746,2.48,"El Progreso,Quetzaltenango,Zacapa",,"3 Years Of Education,6 Years Of Education",,,"Mix-Race,Afro-Descendant",
GTM,2006,expost,24,0.66,5.87,"San Marcos,Izabal,Jutiapa",,,,,"Mix-Race,Afro-Descendant",
GTM,2006,expost,26,0.433,2.42,"El Progreso,San Marcos,Izabal,Jutiapa",,,,,Indigenous,
GTM,2006,expost,27,0.651,2.02,"Quetzaltenango,Zacapa",,,,,Indigenous,
GTM,2006,expost,31,0.464,9.87,"Chimaltenengo,Solola,Baja Verapaz,Jalapa",,,,,,
GTM,2006,expost,32,0.455,5.25,"Totonicapan,Huehuetenango",,,,,,
GTM,2006,expost,34,0.693,3.01,"Quiche,Alta Verapaz,Chiquimula",,,,,Mix-Race,
GTM,2006,expost,36,0.356,3.18,Quiche,,,,,Indigenous,
GTM,2006,expost,37,0.335,3.7,"Alta Verapaz,Chiquimula",,,,,Indigenous,
GTM,2006,expost,39,0.782,3.78,"Chimaltenengo,Totonicapan,Baja Verapaz,Alta Verapaz,Chiquimula,Jalapa",,"3 Years Of Education,6 Years Of Education",,,,
GTM,2006,expost,40,0.594,1.47,"Solola,Huehuetenango,Quiche",,"3 Years Of Education,6 Years Of Education",,,,
GTM,2006,expost,46,1.327,2.25,"Guatemala,Peten","3 Years Of Education,6 Years Of Education",3 Years Of Education,,,,
GTM,2006,expost,47,2.273,1.41,"Alta Verapaz,Izabal","3 Years Of Education,6 Years Of Education",3 Years Of Education,,,,
GTM,2006,expost,50,1.068,1.54,"Sacatepequez,Escuintla,Quetzaltenango,Suchitepequez,Retalhuleu,Huehuetenango,Other Country",3 Years Of Education,3 Years Of Education,,,"White,Indigenous",
GTM,2006,expost,51,0.971,5.24,"Sacatepequez,Escuintla,Quetzaltenango,Suchitepequez,Retalhuleu,Huehuetenango,Other Country",3 Years Of Education,3 Years Of Education,,,"Mix-Race,Afro-Descendant",
GTM,2006,expost,52,1.205,1.09,"Sacatepequez,Escuintla,Quetzaltenango,Suchitepequez,Retalhuleu,Huehuetenango,Other Country",6 Years Of Education,3 Years Of Education,,,,
GTM,2006,expost,55,0.864,2.53,"El Progreso,Chimaltenengo,Santa Rosa,Zacapa,Jalapa,Jutiapa","3 Years Of Education,6 Years Of Education",,,,,
GTM,2006,expost,56,0.747,1.67,"Solola,Totonicapan,San Marcos,Quiche,Baja Verapaz,Chiquimula","3 Years Of Education,6 Years Of Education",,,,,
GTM,2006,expost,58,1.108,5.53,"El Progreso,Chimaltenengo,Santa Rosa,Solola,Totonicapan,San Marcos,Quiche,Baja Verapaz,Zacapa,Chiquimula,Jalapa,Jutiapa","3 Years Of Education,6 Years Of Education",3 Years Of Education,,,Mix-Race,
GTM,2006,expost,59,0.792,1.32,"El Progreso,Chimaltenengo,Santa Rosa,Solola,Totonicapan,San Marcos,Quiche,Baja Verapaz,Zacapa,Chiquimula,Jalapa,Jutiapa","3 Years Of Education,6 Years Of Education",3 Years Of Education,,,Indigenous,
GTM,2006,expost,62,1.693,1.89,"Guatemala,Quetzaltenango,Huehuetenango,Alta Verapaz,Other Country","3 Years Of Education,6 Years Of Education",6 Years Of Education,,,,
GTM,2006,expost,63,1.455,2.27,"Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Totonicapan,Retalhuleu,Quiche","3 Years Of Education,6 Years Of Education",6 Years Of Education,,,,
GTM,2006,expost,65,1.374,1.12,"El Progreso,Solola,Suchitepequez,San Marcos,Baja Verapaz,Peten,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa",3 Years Of Education,6 Years Of Education,,,,
GTM,2006,expost,66,2.045,1.48,"El Progreso,Solola,Suchitepequez,San Marcos,Baja Verapaz,Peten,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa",6 Years Of Education,6 Years Of Education,,,,
GTM,2006,expost,69,1.914,1.38,,,"3 Years Of Education,6 Years Of Education",,,,
GTM,2006,expost,71,3.089,1.31,"Guatemala,El Progreso,Santa Rosa,Solola,Totonicapan,Quetzaltenango,Huehuetenango,Baja Verapaz,Chiquimula,Other Country",,,,,,
GTM,2006,expost,72,4.088,1.02,"Sacatepequez,Chimaltenengo,Escuintla,Suchitepequez,Retalhuleu,San Marcos,Quiche,Alta Verapaz,Peten,Izabal,Zacapa,Jalapa,Jutiapa",,,,,,
GTM,2006,expost,73,4.111,1.05,,,,,,,
