Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
HU,2011,expost,6,0.653,1.31,,,"Unknown,Low","Dead/Unknown/Not Working,Elementary","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,expost,7,0.799,14.97,,,Medium,"Dead/Unknown/Not Working,Elementary","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,expost,9,0.912,16.62,,,"Unknown,Low,Medium","Service,Craft/Trades","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,expost,11,0.832,9.02,,,"Unknown,Low,Medium","Agriculture,Plant Operator",Dead/Unknown/Not Working,,
HU,2011,expost,12,0.895,12.1,,,"Unknown,Low,Medium","Agriculture,Plant Operator","Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,expost,14,0.918,1.56,,"Unknown,Medium",High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,expost,15,1.075,3.6,,"Low,High",High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,expost,18,1.158,10.06,,,"Low,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical,Armed Forces",,
HU,2011,expost,19,1.114,3.05,,,Medium,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical,Armed Forces",,
HU,2011,expost,20,0.988,9.64,,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",Service,,
HU,2011,expost,23,1.355,12.6,,"Unknown,High","Unknown,Low,High","Manager,Professional,Technician,Clerical,Armed Forces",,,
HU,2011,expost,24,1.169,3.07,,"Unknown,High",Medium,"Manager,Professional,Technician,Clerical,Armed Forces",,,
HU,2011,expost,25,1.02,2.42,,"Low,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces",,,
