Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IDN,2000,expost,6,0.752,27.17,"Village,Don't Know,Missing","Adult Education (A),University S1,University S2,University S3,Islamic Elementary School","Elementary,Adult Education (A),University S3,Islamic Elementary School","Working/Trying To Get Work/Helping To Earn Income,Attending School,Retired,Stay At Home/Unemployed,Sick/Disabled",,Islam,
IDN,2000,expost,9,0.845,23.21,"Village,Don't Know,Missing","Elementary,Sr High - Vocational","Elementary,Adult Education (A),University S3,Islamic Elementary School","Working/Trying To Get Work/Helping To Earn Income,Attending School,Retired,Stay At Home/Unemployed,Sick/Disabled","Working/Trying To Get Work/Helping To Earn Income,Job Searching,Housekeeping,Don't Know'",Islam,
IDN,2000,expost,10,0.969,7.27,"Village,Don't Know,Missing","Elementary,Sr High - Vocational","Elementary,Adult Education (A),University S3,Islamic Elementary School","Working/Trying To Get Work/Helping To Earn Income,Attending School,Retired,Stay At Home/Unemployed,Sick/Disabled","Attending School,Retired,Stay At Home/Unemployed,Sick/Disabled",Islam,
IDN,2000,expost,11,1.18,3.17,"Village,Don't Know,Missing","Jr High - General,Jr High - Vocational,Sr High - General,Adult Education (B),Open University,Islamic School (Pesantren),College D1-D3,Madrasah Tsanawiyah","Elementary,Adult Education (A),University S3,Islamic Elementary School","Working/Trying To Get Work/Helping To Earn Income,Attending School,Retired,Stay At Home/Unemployed,Sick/Disabled",,Islam,
IDN,2000,expost,12,0.955,1.02,"Village,Don't Know,Missing",,"Elementary,Adult Education (A),University S3,Islamic Elementary School","Job Searching,Housekeeping,Don't Know'",,Islam,
IDN,2000,expost,14,0.934,2.8,"Village,Don't Know,Missing",,"Elementary,Adult Education (A),University S3,Islamic Elementary School",,,Protestant,
IDN,2000,expost,15,1.081,5.89,"Village,Don't Know,Missing",,"Elementary,Adult Education (A),University S3,Islamic Elementary School",,,"Catholic,Hinduism,Buddhism",
IDN,2000,expost,18,1.018,15.01,"Small Town,Big City","Elementary,Jr High - Vocational,Islamic School (Pesantren),University S2","Elementary,Adult Education (A),University S3,Islamic Elementary School",,,Islam,
IDN,2000,expost,19,1.272,2.95,"Small Town,Big City","Jr High - General,Sr High - General,Sr High - Vocational,College D1-D3,University S1,Islamic Elementary School,Madrasah Tsanawiyah","Elementary,Adult Education (A),University S3,Islamic Elementary School",,,Islam,
IDN,2000,expost,20,1.663,2.16,"Small Town,Big City",,"Elementary,Adult Education (A),University S3,Islamic Elementary School",,,"Protestant,Catholic,Hinduism,Buddhism",
IDN,2000,expost,23,1.935,3.36,,,"Jr High - General,Jr High - Vocational,Sr High - General,Sr High - Vocational,Open University,Islamic School (Pesantren),College D1-D3,University S1,University S2,Madrasah Tsanawiyah,Madrasah Aliyah","Working/Trying To Get Work/Helping To Earn Income,Job Searching,Sick/Disabled,Don't Know'","Working/Trying To Get Work/Helping To Earn Income,Job Searching,Retired,Stay At Home/Unemployed",,
IDN,2000,expost,24,1.607,3.04,,,"Jr High - General,Jr High - Vocational,Sr High - General,Sr High - Vocational,Open University,Islamic School (Pesantren),College D1-D3,University S1,University S2,Madrasah Tsanawiyah,Madrasah Aliyah","Working/Trying To Get Work/Helping To Earn Income,Job Searching,Sick/Disabled,Don't Know'","Attending School,Housekeeping,Sick/Disabled,Don't Know'",,
IDN,2000,expost,26,1.725,1.55,,,"Jr High - General,Jr High - Vocational,Islamic School (Pesantren),Madrasah Tsanawiyah,Madrasah Aliyah","Housekeeping,Retired,Stay At Home/Unemployed",,,
IDN,2000,expost,27,2.763,1.41,,,"Sr High - General,Sr High - Vocational,Open University,College D1-D3,University S1","Housekeeping,Retired,Stay At Home/Unemployed",,,
