Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IT,2011,expost,8,1.058,2.8,Local,Unknown,Unknown,"Dead/Unknown/Not Working,Agriculture,Elementary",,,
IT,2011,expost,9,0.915,3.75,Local,Unknown,Medium,"Dead/Unknown/Not Working,Agriculture,Elementary",,,
IT,2011,expost,10,0.777,1.14,"European Union,Other",Unknown,"Unknown,Medium","Dead/Unknown/Not Working,Agriculture,Elementary",,,
IT,2011,expost,13,0.826,16.87,Local,"Low,Medium","Unknown,Medium","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Clerical,Elementary",,
IT,2011,expost,14,0.656,1.4,"European Union,Other","Low,Medium","Unknown,Medium","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Clerical,Elementary",,
IT,2011,expost,15,0.966,3.96,,"Low,Medium","Unknown,Medium","Dead/Unknown/Not Working,Agriculture,Elementary","Manager,Professional,Technician,Service,Agriculture,Craft/Trades,Plant Operator",,
IT,2011,expost,19,1.036,7.02,Local,"Unknown,Low,Medium","Unknown,Medium","Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2011,expost,20,0.914,24.11,Local,"Unknown,Low,Medium","Unknown,Medium","Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2011,expost,22,1.11,6.12,Local,"Unknown,Low,Medium","Unknown,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Manager,Technician,Service,Craft/Trades,Armed Forces",,
IT,2011,expost,23,1.262,1.93,Local,"Unknown,Low,Medium","Unknown,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Professional,Clerical,Plant Operator",,
IT,2011,expost,24,0.74,3.05,"European Union,Other","Unknown,Low,Medium","Unknown,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,,
IT,2011,expost,26,0.706,2.08,,"Unknown,Medium",Low,,,,
IT,2011,expost,27,0.584,1.34,,Low,Low,,,,
IT,2011,expost,28,1.16,8.47,,High,"Unknown,Low,Medium",,,,
IT,2011,expost,32,1.252,4.5,Local,"Unknown,Low,Medium",High,,,,
IT,2011,expost,33,1.505,6.65,Local,High,High,,,,
IT,2011,expost,34,1.729,3.14,Local,,High,,,,
IT,2011,expost,35,0.835,1.69,"European Union,Other",,High,,,,
