Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
LT,2005,expost,4,0.853,20.15,,"Unknown,Low,Medium,High","Unknown,Low,High",,"Dead/Unknown/Not Working,Technician,Plant Operator,Elementary",,
LT,2005,expost,6,0.931,2.64,,"Unknown,Low,Medium,High","Unknown,Low,High",,"Manager,Professional,Service",,
LT,2005,expost,7,0.863,6.32,,"Unknown,Low,Medium,High","Unknown,Low,High",,"Clerical,Agriculture,Craft/Trades,Armed Forces",,
LT,2005,expost,11,0.91,25.11,,"Unknown,Low,Medium,High",Medium,"Dead/Unknown/Not Working,Agriculture,Elementary",,,
LT,2005,expost,12,0.924,24.2,,"Unknown,Low,Medium,High",Medium,"Technician,Service,Craft/Trades,Plant Operator,Armed Forces",,,
LT,2005,expost,13,1.202,2.0,,"Unknown,Low,Medium,High",,"Dead/Unknown/Not Working,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
LT,2005,expost,14,1.211,3.32,,"Unknown,Low,Medium,High",Medium,"Manager,Professional,Clerical",,,
LT,2005,expost,16,1.167,3.74,,,,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,
LT,2005,expost,18,1.286,7.28,,,,,"Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces",,
LT,2005,expost,19,1.571,5.24,,,,,"Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces",,
