Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
NPL,2011,expost,6,0.892,4.93,Mountains,"Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Hindu,Islam,Jain",
NPL,2011,expost,7,0.826,1.6,Mountains,"Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Bouddha,Kirant",
NPL,2011,expost,10,0.664,10.04,"Urban - Terai,Rural Terai - Central","Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Hindu,Islam,Kirant,Shikh,Bahai",
NPL,2011,expost,11,0.789,12.08,"Rural Hills - Eastern,Rural Terai - Eastern","Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Hindu,Islam,Kirant,Shikh,Bahai",
NPL,2011,expost,12,0.87,1.47,"Urban - Terai,Rural Hills - Eastern,Rural Terai - Eastern,Rural Terai - Central","Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Bouddha,Jain,Other Religion",
NPL,2011,expost,13,0.588,13.19,"Rural Hills - Mid And Far West,Rural Terai - Western,Rural Terai - Mid And Far West","Class 1,Class 2,Class 3,Class 6,Illiterate",,,,,
NPL,2011,expost,16,1.764,3.77,"Urban - Kathmandu,Urban - Hill","Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Hindu,Islam",
NPL,2011,expost,18,0.972,4.15,Rural Hills - Central,"Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Hindu,Islam",
NPL,2011,expost,19,0.956,8.11,Rural Hills - Western,"Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Hindu,Islam",
NPL,2011,expost,21,1.272,1.36,"Urban - Kathmandu,Rural Hills - Western","Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Bouddha,Kirant,Jain",
NPL,2011,expost,22,0.942,2.76,"Urban - Hill,Rural Hills - Central","Class 1,Class 2,Class 3,Class 6,Illiterate",,,,"Bouddha,Kirant,Jain",
NPL,2011,expost,26,0.983,14.37,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 4,Class 5,Class 7,Class 8,Class 9,Class 10,Literate (Levelless),Dk","Class 1,Master Level Or Higher,Illiterate,Dk",,,,
NPL,2011,expost,27,1.411,1.04,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher","Class 1,Master Level Or Higher,Illiterate,Dk",,,,
NPL,2011,expost,29,1.614,3.97,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 4,Class 5,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 2,Class 3,Class 4,Class 5,Literate (Levelless)",,,,
NPL,2011,expost,30,3.065,1.05,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 4,Class 5,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level",,,,
NPL,2011,expost,33,3.145,1.88,Urban - Kathmandu,"Class 4,Class 5,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Literate (Levelless)",,,,
NPL,2011,expost,34,2.045,2.46,Urban - Kathmandu,"Class 4,Class 5,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Illiterate,Dk",,,,
NPL,2011,expost,36,2.195,3.06,"Urban - Hill,Rural Hills - Central,Rural Hills - Western","Class 4,Class 5,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 1,Class 2,Class 3,Class 5,Class 7,Class 9,Slc,Intermediate/Class 12,Literate (Levelless)",,,,
NPL,2011,expost,38,1.58,6.33,"Urban - Hill,Rural Hills - Western","Class 4,Class 5,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 4,Class 6,Class 8,Class 10,Illiterate,Dk",,,,
NPL,2011,expost,39,1.239,2.4,Rural Hills - Central,"Class 4,Class 5,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Professional Degree,Literate (Levelless),Dk","Class 4,Class 6,Class 8,Class 10,Illiterate,Dk",,,,
