Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PAN,2003,expost,5,0.367,20.28,Urban,,,,,,
PAN,2003,expost,6,0.529,3.23,Urban,,3 Years Of Education,,,,
PAN,2003,expost,7,0.689,4.77,Rural,,3 Years Of Education,,,,
PAN,2003,expost,11,0.429,3.95,Urban,3 Years Of Education,,,,,
PAN,2003,expost,12,0.567,2.18,Urban,6 Years Of Education,,,,,
PAN,2003,expost,14,0.621,8.11,Urban,3 Years Of Education,3 Years Of Education,,,,
PAN,2003,expost,15,0.694,3.35,Urban,6 Years Of Education,3 Years Of Education,,,,
PAN,2003,expost,18,0.91,1.01,Rural,3 Years Of Education,,,,,
PAN,2003,expost,19,0.848,3.69,Rural,3 Years Of Education,3 Years Of Education,,,,
PAN,2003,expost,20,1.035,4.33,Rural,6 Years Of Education,3 Years Of Education,,,,
PAN,2003,expost,24,0.845,12.37,Urban,"3 Years Of Education,6 Years Of Education",6 Years Of Education,,,,
PAN,2003,expost,25,1.096,2.2,Urban,,6 Years Of Education,,,,
PAN,2003,expost,27,1.136,14.51,Rural,"3 Years Of Education,6 Years Of Education",6 Years Of Education,,,,
PAN,2003,expost,28,1.321,5.19,Rural,,6 Years Of Education,,,,
PAN,2003,expost,30,1.758,7.77,,"3 Years Of Education,6 Years Of Education",,,,,
PAN,2003,expost,32,2.358,1.22,,,,,,,
PAN,2003,expost,33,3.477,1.82,,,,,,,
