Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PER,2015,expost,6,0.534,1.94,"Amazonas-San Martin-Ucayali,Cajamarca,Loreto",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Mix-Race",
PER,2015,expost,7,0.761,1.11,"Apurimac,Ayacucho,Huancavelica,Huánuco,Ica,La Libertad,Puno",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Mix-Race",
PER,2015,expost,10,0.363,1.42,"Amazonas-San Martin-Ucayali,Ayacucho,Huancavelica,Puno",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Afro-Descendant,Other",Female
PER,2015,expost,11,0.475,3.49,"Amazonas-San Martin-Ucayali,Ayacucho,Huancavelica,Puno",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Afro-Descendant,Other",Male
PER,2015,expost,12,0.409,5.55,"Apurimac,Cajamarca,Huánuco,Ica,La Libertad,Loreto",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Afro-Descendant,Other",
PER,2015,expost,15,0.502,2.42,"Anchash,Junin-Pasco,Lima,Moquegua-Tacna,Piura-Tumbes",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Indigenous,Afro-Descendant",
PER,2015,expost,16,0.606,2.76,"Anchash,Junin-Pasco,Lima,Moquegua-Tacna,Piura-Tumbes",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Mix-Race,Other",
PER,2015,expost,17,0.821,1.41,"Arequipa,Cusco-Madre De Dios,Lambayeque,Callao",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,23,0.764,1.37,"Amazonas-San Martin-Ucayali,Ayacucho,Cajamarca,Huánuco,Ica,Loreto,Puno","1 Years Of Education,2 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",,,,"White,Mix-Race,Afro-Descendant",
PER,2015,expost,24,0.6,1.86,"Amazonas-San Martin-Ucayali,Ayacucho,Cajamarca,Huánuco,Ica,Loreto,Puno","1 Years Of Education,2 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",,,,"Indigenous,Other",
PER,2015,expost,26,0.696,1.01,"Anchash,Apurimac,Huancavelica,Junin-Pasco,La Libertad,Lambayeque,Piura-Tumbes","1 Years Of Education,2 Years Of Education,5 Years Of Education,8 Years Of Education,9 Years Of Education,11 Years Of Education,14 Years Of Education,15 Years Of Education",,,,,
PER,2015,expost,27,0.763,1.6,"Anchash,Apurimac,Huancavelica,Junin-Pasco,La Libertad,Lambayeque,Piura-Tumbes","4 Years Of Education,6 Years Of Education,7 Years Of Education,10 Years Of Education,12 Years Of Education,13 Years Of Education",,,,,
PER,2015,expost,30,0.615,2.13,"Amazonas-San Martin-Ucayali,Apurimac,Ayacucho,Cajamarca,Huánuco,Ica,Lambayeque,Loreto,Puno",3 Years Of Education,,,,"White,Mix-Race,Afro-Descendant",
PER,2015,expost,31,0.463,3.54,"Amazonas-San Martin-Ucayali,Apurimac,Ayacucho,Cajamarca,Huánuco,Ica,Lambayeque,Loreto,Puno",3 Years Of Education,,,,"Indigenous,Other",
PER,2015,expost,32,0.623,3.32,"Anchash,Huancavelica,Junin-Pasco,La Libertad,Piura-Tumbes",3 Years Of Education,,,,,
PER,2015,expost,36,0.707,2.49,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Ica,Loreto","1 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Mix-Race,Afro-Descendant",
PER,2015,expost,37,0.485,1.0,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Ica,Loreto","1 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Other",
PER,2015,expost,39,0.84,1.66,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Ica,Loreto","2 Years Of Education,6 Years Of Education,10 Years Of Education,12 Years Of Education,15 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,40,0.76,1.04,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Ica,Loreto","4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,11 Years Of Education,14 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,44,0.746,4.82,"Anchash,Huancavelica,La Libertad,Piura-Tumbes","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,12 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,45,0.781,1.46,Junin-Pasco,"1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,12 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,46,0.754,3.1,"Ayacucho,Huánuco,Lambayeque,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,12 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,47,0.9,1.01,"Anchash,Ayacucho,Huancavelica,Huánuco,Junin-Pasco,La Libertad,Lambayeque,Piura-Tumbes,Puno","4 Years Of Education,8 Years Of Education,10 Years Of Education,11 Years Of Education,14 Years Of Education,15 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,51,0.987,1.32,"Arequipa,Cusco-Madre De Dios,Callao","1 Years Of Education,2 Years Of Education,3 Years Of Education,6 Years Of Education,9 Years Of Education,12 Years Of Education",1 Years Of Education,,,,
PER,2015,expost,52,0.948,2.27,"Arequipa,Cusco-Madre De Dios,Callao","1 Years Of Education,2 Years Of Education,3 Years Of Education,6 Years Of Education,9 Years Of Education,12 Years Of Education","2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,53,0.831,2.37,"Lima,Moquegua-Tacna","1 Years Of Education,2 Years Of Education,3 Years Of Education,6 Years Of Education,9 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,54,1.366,1.1,"Arequipa,Cusco-Madre De Dios,Lima,Callao,Moquegua-Tacna","4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,10 Years Of Education,11 Years Of Education,14 Years Of Education,15 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2015,expost,63,0.929,1.45,"Amazonas-San Martin-Ucayali,Apurimac","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,,"White,Mix-Race,Afro-Descendant",
PER,2015,expost,64,0.859,1.86,"Lima,Piura-Tumbes","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,,"White,Mix-Race,Afro-Descendant",
PER,2015,expost,65,1.006,1.96,"Anchash,Ayacucho,Ica,Junin-Pasco,La Libertad,Lambayeque","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,,"White,Mix-Race,Afro-Descendant",
