Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PT,2005,expost,7,0.846,5.88,,Unknown,"Unknown,Low","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Manager,Clerical,Service,Plant Operator",,
PT,2005,expost,8,0.685,3.23,,Unknown,"Unknown,Low","Dead/Unknown/Not Working,Agriculture,Elementary","Agriculture,Craft/Trades,Elementary",,
PT,2005,expost,9,0.821,4.33,,"Medium,High","Unknown,Low","Dead/Unknown/Not Working,Agriculture,Elementary",,,
PT,2005,expost,10,0.717,21.19,,Low,"Unknown,Low","Dead/Unknown/Not Working,Agriculture,Elementary",,,
PT,2005,expost,11,0.808,19.76,,,"Unknown,Low","Service,Craft/Trades,Plant Operator",,,
PT,2005,expost,15,1.083,14.46,,"Unknown,Medium,High","Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Manager,Clerical,Service,Craft/Trades",,
PT,2005,expost,16,0.772,2.15,,Low,"Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Manager,Clerical,Service,Craft/Trades",,
PT,2005,expost,18,0.892,9.26,,"Unknown,Medium,High","Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Agriculture,Plant Operator,Elementary",,
PT,2005,expost,19,0.754,2.09,,Low,"Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Agriculture,Plant Operator,Elementary",,
PT,2005,expost,20,1.699,1.13,,,"Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Professional,Technician",,
PT,2005,expost,24,0.969,1.95,,Low,,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Manager,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2005,expost,25,1.3,7.0,,Medium,,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Manager,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2005,expost,26,1.863,4.47,,High,,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Manager,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2005,expost,28,1.972,1.09,,"Low,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces","Professional,Technician",,
PT,2005,expost,29,2.431,2.01,,High,,"Manager,Professional,Technician,Clerical,Armed Forces","Professional,Technician",,
