Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
SI,2005,expost,4,0.873,37.78,,"Unknown,Medium",,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
SI,2005,expost,5,1.176,1.82,,"Unknown,Medium",,"Manager,Professional,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
SI,2005,expost,9,0.836,1.57,,"Low,High","Unknown,Low,High","Dead/Unknown/Not Working,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
SI,2005,expost,10,0.875,5.45,,"Low,High","Unknown,Low,High","Craft/Trades,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
SI,2005,expost,11,0.899,1.76,,"Low,High",Medium,"Dead/Unknown/Not Working,Craft/Trades,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
SI,2005,expost,12,0.946,14.52,,"Low,High",,"Manager,Professional,Technician,Clerical,Service,Agriculture,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
SI,2005,expost,16,1.039,3.63,,,"Low,High","Dead/Unknown/Not Working,Clerical,Craft/Trades,Elementary","Manager,Professional,Technician,Clerical",,
SI,2005,expost,18,1.251,3.26,,,"Low,High",Technician,"Manager,Professional,Technician,Clerical",,
SI,2005,expost,20,1.078,1.1,,,"Low,High",Service,"Manager,Professional,Technician,Clerical",,
SI,2005,expost,21,1.095,2.33,,,"Low,High","Agriculture,Plant Operator","Manager,Professional,Technician,Clerical",,
SI,2005,expost,23,1.092,11.99,,,Medium,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
SI,2005,expost,25,1.133,1.38,,,,"Dead/Unknown/Not Working,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
SI,2005,expost,26,1.395,1.92,,,,"Technician,Clerical,Service,Agriculture","Manager,Professional,Technician,Clerical",,
SI,2005,expost,28,1.708,1.07,,,,"Manager,Professional,Armed Forces",Manager,,
SI,2005,expost,30,1.205,3.46,,"Medium,High",,"Manager,Professional,Armed Forces","Professional,Technician,Clerical",,
SI,2005,expost,32,1.481,5.35,,,,"Manager,Professional,Armed Forces","Professional,Technician",,
SI,2005,expost,33,1.336,1.62,,,,"Manager,Professional,Armed Forces",Clerical,,
