Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
TGO,2018,expost,6,1.108,11.4,,No School,No School,," Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed",Muslim,
TGO,2018,expost,7,0.957,24.78,,No School,No School,," Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed",Christian,
TGO,2018,expost,8,1.089,1.89,,No School,"Primary,Secondary I Cycle,Secondary Ii Cycle",," Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed","Muslim,Christian",
TGO,2018,expost,10,0.788,2.83,,No School,,,Other,Muslim,
TGO,2018,expost,11,0.692,5.23,,No School,,,Other,Christian,
TGO,2018,expost,13,0.669,22.01,,No School,,,"Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed","Animist,Other,Atheist",
TGO,2018,expost,14,0.542,5.45,,No School,,,Other,"Animist,Other,Atheist",
TGO,2018,expost,20,1.339,2.56,,"Primary,Secondary I Cycle","No School,Primary",,"Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed",Muslim,
TGO,2018,expost,21,1.239,13.62,,"Primary,Secondary I Cycle","No School,Primary",,"Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed",Christian,
TGO,2018,expost,22,1.626,1.44,,"Primary,Secondary I Cycle","Secondary I Cycle,Secondary Ii Cycle,Superior",,"Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed","Muslim,Christian",
TGO,2018,expost,23,1.006,1.16,,"Primary,Secondary I Cycle",,,Other,"Muslim,Christian",
TGO,2018,expost,24,1.835,3.34,,"Secondary Ii Cycle,Superior",,,,"Muslim,Christian",
TGO,2018,expost,26,0.929,1.01,,"Primary,Secondary I Cycle,Secondary Ii Cycle,Superior",,"Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Other",,"Animist,Other,Atheist",
TGO,2018,expost,27,0.819,3.27,,"Primary,Secondary I Cycle,Secondary Ii Cycle,Superior",,Self Employed,,"Animist,Other,Atheist",
