Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
UGA,2010,expost,8,0.855,2.48,,"No Formal Education,Currently Attending School,Less Than Primary,Primary","No Formal Education,Currently Attending School,Less Than Primary,Primary",,Agricultural Farming And Fishery Workers,"Babukusu,Babwisi,Bantu,Ethur,Ik (Teuso),Indigenous African Pygmy,Nilohamites,Nilotic",
UGA,2010,expost,11,0.761,1.84,,"No Formal Education,Currently Attending School,Less Than Primary,Primary","No Formal Education,Less Than Primary,Primary",,"Casual Labourer,Other Unpaid Family Work,Unemployed","Babukusu,Bantu,Nilotic",
UGA,2010,expost,13,0.844,6.37,,"No Formal Education,Currently Attending School,Less Than Primary,Primary","No Formal Education,Less Than Primary,Primary","Agricultural Farming And Fishery Workers,Other Unpaid Family Work","Casual Labourer,Other Unpaid Family Work,Unemployed","Babwisi,Indigenous African Pygmy",
UGA,2010,expost,16,0.641,1.58,,"No Formal Education,Less Than Primary","No Formal Education,Less Than Primary,Primary","Casual Labourer,Non-Agricultural,Paid Employee","Casual Labourer,Other Unpaid Family Work,Unemployed","Babwisi,Indigenous African Pygmy",
UGA,2010,expost,18,0.7,5.53,,No Formal Education,"No Formal Education,Less Than Primary,Primary",Unemployed,"Casual Labourer,Other Unpaid Family Work,Unemployed","Babwisi,Indigenous African Pygmy",
UGA,2010,expost,19,0.995,1.3,,Less Than Primary,"No Formal Education,Less Than Primary,Primary",Unemployed,"Casual Labourer,Other Unpaid Family Work,Unemployed","Babwisi,Indigenous African Pygmy",
UGA,2010,expost,21,0.781,6.35,,"Currently Attending School,Primary",No Formal Education,"Casual Labourer,Non-Agricultural,Paid Employee,Unemployed","Casual Labourer,Other Unpaid Family Work,Unemployed","Babwisi,Indigenous African Pygmy",
UGA,2010,expost,22,0.904,17.12,,"Currently Attending School,Primary","Less Than Primary,Primary","Casual Labourer,Non-Agricultural,Paid Employee,Unemployed","Casual Labourer,Other Unpaid Family Work,Unemployed","Babwisi,Indigenous African Pygmy",
UGA,2010,expost,23,0.879,2.89,,"No Formal Education,Currently Attending School,Less Than Primary,Primary",Currently Attending School,,"Casual Labourer,Other Unpaid Family Work,Unemployed","Babukusu,Babwisi,Bantu,Ethur,Ik (Teuso),Indigenous African Pygmy,Nilohamites,Nilotic",
UGA,2010,expost,25,1.395,1.68,,"No Formal Education,Currently Attending School,Less Than Primary,Primary","No Formal Education,Currently Attending School,Primary",,"Non-Agricultural,Paid Employee","Babukusu,Babwisi,Bantu,Ethur,Ik (Teuso),Indigenous African Pygmy,Nilohamites,Nilotic",
UGA,2010,expost,26,1.345,1.1,,"No Formal Education,Currently Attending School,Less Than Primary,Primary",Less Than Primary,,"Non-Agricultural,Paid Employee","Babukusu,Babwisi,Bantu,Ethur,Ik (Teuso),Indigenous African Pygmy,Nilohamites,Nilotic",
UGA,2010,expost,29,0.529,3.54,,"No Formal Education,Currently Attending School,Less Than Primary,Primary","No Formal Education,Currently Attending School","Agricultural Farming And Fishery Workers,Other Unpaid Family Work,Paid Employee",,"Mvuba,Niloc",
UGA,2010,expost,31,0.457,3.13,,No Formal Education,"No Formal Education,Currently Attending School","Casual Labourer,Non-Agricultural,Unemployed",,"Mvuba,Niloc",
UGA,2010,expost,33,0.77,1.45,,"Currently Attending School,Less Than Primary,Primary","No Formal Education,Currently Attending School","Casual Labourer,Non-Agricultural,Unemployed",,Mvuba,
UGA,2010,expost,34,0.527,2.94,,"Currently Attending School,Less Than Primary,Primary","No Formal Education,Currently Attending School","Casual Labourer,Non-Agricultural,Unemployed",,Niloc,
UGA,2010,expost,36,0.682,7.71,,"No Formal Education,Currently Attending School,Less Than Primary,Primary","Less Than Primary,Primary",,"Agricultural Farming And Fishery Workers,Unemployed","Mvuba,Niloc",
UGA,2010,expost,37,0.816,2.74,,"No Formal Education,Currently Attending School,Less Than Primary,Primary","Less Than Primary,Primary",,"Casual Labourer,Non-Agricultural,Other Unpaid Family Work,Paid Employee","Mvuba,Niloc",
UGA,2010,expost,40,0.882,1.38,,Completed Post Primary Specialized Training Or Certificate,"No Formal Education,Currently Attending School,Less Than Primary,Primary",,,"Babukusu,Babwisi,Bantu,Indigenous African Pygmy,Mvuba,Nilohamites,Nilotic",
UGA,2010,expost,43,1.535,1.27,,O-Level,"No Formal Education,Currently Attending School,Less Than Primary,Primary",,"Agricultural Farming And Fishery Workers,Non-Agricultural,Other Unpaid Family Work","Babukusu,Babwisi,Bantu,Nilotic",
UGA,2010,expost,45,1.244,1.25,,O-Level,"No Formal Education,Currently Attending School,Less Than Primary",,"Casual Labourer,Unemployed","Babukusu,Babwisi,Bantu,Nilotic",
UGA,2010,expost,46,1.202,2.74,,O-Level,Primary,,"Casual Labourer,Unemployed","Babukusu,Babwisi,Bantu,Nilotic",
UGA,2010,expost,47,0.972,1.14,,O-Level,"No Formal Education,Currently Attending School,Less Than Primary,Primary",,,"Indigenous African Pygmy,Mvuba,Nilohamites",
UGA,2010,expost,48,1.013,1.77,,"Completed Post Primary Specialized Training Or Certificate,O-Level","No Formal Education,Currently Attending School,Less Than Primary,Primary",,,Niloc,
UGA,2010,expost,51,1.546,4.86,,"No Formal Education,Currently Attending School,Completed Post Primary Specialized Training Or Certificate,O-Level","Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University",,,"Babwisi,Bantu,Ethur,Indigenous African Pygmy,Nilohamites",
UGA,2010,expost,52,1.522,3.09,,"Less Than Primary,Primary","Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University",,,"Babwisi,Bantu,Ethur,Indigenous African Pygmy,Nilohamites",
