Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
USA,2008,expost,6,0.836,9.75,"Northeast,North Central,South,West","0-5 Grades,6-8 Grades,9-11 Grades",,,,White,Female
USA,2008,expost,7,0.867,1.24,"Northeast,North Central,South,West","0-5 Grades,6-8 Grades,9-11 Grades",,,,"Asian, Pac. Islander,Other",Female
USA,2008,expost,9,0.935,7.84,"Northeast,North Central,South,West","0-5 Grades,6-8 Grades,9-11 Grades",,"Low,Middle",,"White,Asian, Pac. Islander,Other",Male
USA,2008,expost,10,1.377,1.03,"Northeast,North Central,South,West","0-5 Grades,6-8 Grades,9-11 Grades",,High,,"White,Asian, Pac. Islander,Other",Male
USA,2008,expost,13,0.529,3.73,Foreign Country,"0-5 Grades,6-8 Grades,9-11 Grades",,"Low,Middle",Low,"White,Asian, Pac. Islander,Other",
USA,2008,expost,14,0.801,1.12,Foreign Country,"0-5 Grades,6-8 Grades,9-11 Grades",,High,Low,"White,Asian, Pac. Islander,Other",
USA,2008,expost,15,1.144,1.03,Foreign Country,"0-5 Grades,6-8 Grades,9-11 Grades",,,"Middle,High","White,Asian, Pac. Islander,Other",
USA,2008,expost,17,0.568,11.91,,"0-5 Grades,6-8 Grades,9-11 Grades",,,Low,"Black,Am. Indian, Aleut, Eskimo,Hispanic",
USA,2008,expost,19,0.742,1.26,"Northeast,North Central,Foreign Country","0-5 Grades,6-8 Grades,9-11 Grades",,,"Middle,High","Black,Am. Indian, Aleut, Eskimo,Hispanic",
USA,2008,expost,20,0.604,2.5,"South,West","0-5 Grades,6-8 Grades,9-11 Grades",,,"Middle,High","Black,Am. Indian, Aleut, Eskimo,Hispanic",
USA,2008,expost,25,0.929,10.2,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","Low,Middle",,"White,Asian, Pac. Islander,Hispanic,Other",Female
USA,2008,expost,26,1.131,9.12,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","Low,Middle",,"White,Asian, Pac. Islander,Hispanic,Other",Male
USA,2008,expost,27,1.24,11.51,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College",High,,"White,Asian, Pac. Islander,Hispanic,Other",
USA,2008,expost,28,1.391,10.44,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","College Degree,Advanced College Degree",,,"White,Asian, Pac. Islander,Hispanic,Other",
USA,2008,expost,30,0.675,11.71,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training",,,"Black,Am. Indian, Aleut, Eskimo",
USA,2008,expost,31,0.901,5.6,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree","Some College,College Degree,Advanced College Degree",,,"Black,Am. Indian, Aleut, Eskimo",
