"","var","cat","value","value2","class"
"1","Sex",0,7383.79460512507,5.58514079084853,"Male"
"2","Sex",1,6834.53848375145,-2.26898950486918,"Female"
"3","Ethnicity",-99,6685.19538792601,-4.40453262898657,""
"4","Ethnicity",-95,7785.85432325124,11.3344247586359,""
"5","Ethnicity",1,5724.7706521665,-18.1382002575247,"Atheistic/agnostic/none"
"6","Ethnicity",3,10262.9892785469,46.7564072215941,"Jewish"
"7","Ethnicity",4,6046.86539103633,-13.5323816818079,"Orthodox Christian"
"8","Ethnicity",5,11084.8701733214,58.5089565040241,"Catholic"
"9","Ethnicity",6,9443.8209754746,35.0426468535502,"Other Christian, including protestant"
"10","Ethnicity",7,6449.80870080797,-7.77046272709612,"Muslim"
"11","Ethnicity",8,7034.46449188455,0.589867877462936,"Other"
"12","Father_Occ",-99,8000.55724589455,14.4045857703961,""
"13","Father_Occ",-97,12162.7728917741,73.9225096122956,""
"14","Father_Occ",1,6277.01224442445,-10.2413789904968,"Agriculture, Forestry, and Fishing"
"15","Father_Occ",2,6476.69780201741,-7.38595994921984,"Mining"
"16","Father_Occ",3,6888.37273737762,-1.49918244055229,"Construction"
"17","Father_Occ",4,8167.79098188568,16.7959574842499,"Manufacturing"
"18","Father_Occ",5,6901.20734717742,-1.31565294722556,"Transportation and public utilities"
"19","Father_Occ",6,6893.13524004929,-1.43108066605879,"Wholesale trade"
"20","Father_Occ",7,7766.4235903587,11.0565734940972,"Retail trade"
"21","Father_Occ",8,6453.54503996329,-7.71703465699748,"Finance, insurance and real estate"
"22","Father_Occ",9,6674.1911203501,-4.56188900242842,"Services"
"23","Father_Occ",10,8524.99412040866,21.9038113302527,"Public sector (eg education, administration, health care)"
"24","Father_Occ",11,7196.79148605964,2.91107525804692,"Non-classifiable establishments"
"25","Father_Occ",12,7727.69222806647,10.5027313899563,"Never worked"
"26","Mother_Occ",-99,8597.74797356233,22.9441606681087,""
"27","Mother_Occ",-97,8920.72574189669,27.5626061918002,""
"28","Mother_Occ",1,6662.63480573989,-4.72713941504094,"Agriculture, Forestry, and Fishing"
"29","Mother_Occ",2,7168.99468056111,2.51359269263789,"Mining"
"30","Mother_Occ",3,7475.22664500493,6.89258030126072,"Construction"
"31","Mother_Occ",4,6708.62071005466,-4.06956042738884,"Manufacturing"
"32","Mother_Occ",5,7946.47582143954,13.6312442677373,"Transportation and public utilities"
"33","Mother_Occ",6,5995.84194365048,-14.2619954053709,"Wholesale trade"
"34","Mother_Occ",7,6642.96359582738,-5.00842939928513,"Retail trade"
"35","Mother_Occ",8,6236.69532159267,-10.8178939399365,"Finance, insurance and real estate"
"36","Mother_Occ",9,7436.56668802606,6.33975926290886,"Services"
"37","Mother_Occ",10,6941.42115322607,-0.740612524184101,"Public sector (eg education, administration, health care)"
"38","Mother_Occ",11,7679.69155830934,9.81634210837413,"Non-classifiable establishments"
"39","Mother_Occ",12,7124.20430939759,1.8731093235458,"Never worked"
"40","Mother_Edu",-97,7993.45373533981,14.3030085730143,""
"41","Mother_Edu",1,6702.6129740768,-4.15546851164348,"No degree / No education"
"42","Mother_Edu",2,6892.51970594697,-1.4398825434, ""
