"","var","cat","value","value2","class"
"1","Sex",1,31211.9145577515,4.16533552259753,"[1] Male"
"2","Sex",2,29145.5507597254,-2.73086041356906,"[2] Female"
"3","Ethnicity",1,30096.530832567,0.44290062501004,"[1] Not of indigenous origin"
"4","Ethnicity",2,28186.3563253935,-5.93203571791375,"[2] Aboriginal"
"5","Ethnicity",3,28839.5753416459,-3.7520099501329,"[3] Torres Strait Islander"
"6","Ethnicity",4,29106.7432713373,-2.86037489885499,"[4] Both Aboriginal and Torres Strait Islander"
"7","Father_Occ",1,31424.7700283727,4.87571044926383,"[1] Managers"
"8","Father_Occ",2,34085.1343527818,13.7542988470269,"[2] Professionals"
"9","Father_Occ",3,28232.5101343107,-5.77800393038528,"[3] Technicians and Trades Workers"
"10","Father_Occ",4,28862.3999213478,-3.67583615443642,"[4] Community and Personal Service Workers"
"11","Father_Occ",5,31516.1939812359,5.1808249178803,"[5] Clerical and Administrative Workers"
"12","Father_Occ",6,30759.1320262723,2.65423807860576,"[6] Sales Workers"
"13","Father_Occ",7,27044.1748273224,-9.74390437961144,"[7] Machinery Operators and Drivers"
"14","Father_Occ",8,26270.8631607901,-12.3247223252336,"[8] Labourers"
"15","Mother_Occ",1,30433.5660029337,1.56770767711195,"[1] Managers"
"16","Mother_Occ",2,30185.4369913463,0.739612313174547,"[2] Professionals"
"17","Mother_Occ",3,30023.8830083221,0.200448821117874,"[3] Technicians and Trades Workers"
"18","Mother_Occ",4,28966.6475312846,-3.32792455015479,"[4] Community and Personal Service Workers"
"19","Mother_Occ",5,31693.2106603134,5.77159296368816,"[5] Clerical and Administrative Workers"
"20","Mother_Occ",6,28976.5668174825,-3.29482034012483,"[6] Sales Workers"
"21","Mother_Occ",7,29560.0514503145,-1.34752318093395,"[7] Machinery Operators and Drivers"
"22","Mother_Occ",8,27975.1211201626,-6.63700323877319,"[8] Labourers"
"23","Mother_Edu",1,35690.2479583256,19.111137722258,"None"
"24","Mother_Edu",2,29424.4296237064,-1.80014178100996,"Primary school"
"25","Mother_Edu",3,28752.3329959112,-4.04316889837418,"Secondary school"
"26","Mother_Edu",4,30287.6356536537,1.08068584551127,"Year 11 or equivalent"
"27","Mother_Edu",5,30753.9961312677,2.63709775786801,"Year 12 or equivalent"
"28","Mother_Edu",6,33334.3715503428,11.2487345353841,"University"
"29","Mother_Edu",7,31916.3706854325,6.51635787866182,"Techers College/College of Advance"
"30","Mother_Edu",8,32782.2436168815,9.40608591048223,"Institute of Technology"
"31","Mother_Edu",9,32529.4542672198,8.56243732957476,"Technical College/Tafe"
"32","Mother_Edu",10,31676.3516715607,5.71532848120201,"Employer"
"33","Mother_Edu",13,32297.2785107088,7.78758369051236,"Other"
"34","Father_Edu",1,28695.3428333299,-4.23336547845847,"None"
"35","Father_Edu",2,28793.0018281023,-3.90744244229076,"Primary school"
"36","Father_Edu",3,29760.595793775,-0.678234894081911,"Secondary school"
"37","Father_Edu",4,30640.4580165559,2.25818041232436,"Year 11 or equivalent"
"38","Father_Edu",5,29782.494214407,-0.605152022849609,"Year 12 or equivalent"
"39","Father_Edu",6,31893.2908465972,6.43933219183188,"University"
"40","Father_Edu",7,28599.8817315438,-4.5519533586895,"Techers College/College of Advance"
"41","Father_Edu",8,32017.9024296403,6.85520566648422,"Institute of Technology"
"42","Father_Edu",9,30011.1893668851,0.158085594189231,"Technical College/Tafe"
"43","Father_Edu",10,28934.1209281324,-3.43647747229249,"Employer"
"44","Father_Edu",13,30360.4535711934,1.32370531163683,"Other"
