"","var","cat","value","value2","class"
"1","Sex",0,4132.37255904535,-0.877437090745829,"Female"
"2","Sex",1,4220.62730394827,1.23951542955163,"Male"
"3","Ethnicity",1,4347.94380002036,4.29343595849039,"Muslim"
"4","Ethnicity",2,4321.7409666813,3.66491276535136,"christian"
"5","Ethnicity",3,3375.93209121479,-19.0220542055595,"animist"
"6","Ethnicity",4,4116.54709850236,-1.25703989417812,"other"
"7","Ethnicity",5,3454.05077590386,-17.1482337484637,"atheist"
"8","Father_Occ",1,5185.47971472297,24.3832766511332,"senior executive"
"9","Father_Occ",2,5590.1542800093,34.0901410449466," middle manager"
"10","Father_Occ",3,5044.3917982913,20.9990232537422,"skilled worker"
"11","Father_Occ",4,4603.82588033045,10.431238695412,"Unskilled worker"
"12","Father_Occ",5,4418.74546931349,5.99174433178233,"manual worker"
"13","Father_Occ",6,4390.89314086038,5.32365496185867,"Employer"
"14","Father_Occ",7,4089.0565054495,-1.91645237462613,"self employed"
"15","Father_Occ",8,4581.42407977908,9.89389027081897,"Other"
"16","Mother_Occ",1,4610.9173934082,10.601341690998,"senior executive"
"17","Mother_Occ",2,4659.913654874,11.7766072170529," middle manager"
"18","Mother_Occ",3,4384.10204797597,5.16075809763855,"skilled worker"
"19","Mother_Occ",4,4142.19344798485,-0.641864990742576,"Unskilled worker"
"20","Mother_Occ",5,4009.51748549853,-3.8243421876037,"manual worker"
"21","Mother_Occ",6,4239.9926023784,1.70402776101977,"Employer"
"22","Mother_Occ",7,4191.73087592836,0.546381409486912,"self employed"
"23","Mother_Occ",8,3688.12558763032,-11.5335184924444,"Other"
"24","Mother_Edu",1,4044.32118657154,-2.98951134895314,"no school"
"25","Mother_Edu",2,5072.67800486565,21.6775199891088,"primary"
"26","Mother_Edu",3,5178.5566207972,24.2172134989419,"secondary I cycle"
"27","Mother_Edu",4,5283.36748232326,26.7312949537829,"secondary II cycle"
"28","Mother_Edu",5,5458.16547906489,30.9241466826299,"superior"
"29","Father_Edu",1,3907.40475653926,-6.27370396597115,"no school"
"30","Father_Edu",2,5087.97309382617,22.0444008538007,"primary"
"31","Father_Edu",3,5168.10047311432,23.9664035485622,"secondary I cycle"
"32","Father_Edu",4,5541.75967028135,32.9293072433748,"secondary II cycle"
"33","Father_Edu",5,5440.20711835007,30.4933823422257,"superior"
