"","var","cat","value","value2","class"
"1","Sex",1,34815.385648656,3.21545975919067,"Male"
"2","Sex",2,32980.7440173201,-2.22361195992431,"Female"
"3","Birth_Area",1,34095.9586050024,1.08260982257723,"Local"
"4","Birth_Area",2,36052.2689717388,6.88238685139122,"European Union"
"5","Birth_Area",3,27031.2440445127,-19.8618016162929,"Other"
"6","Father_Occ",0,31671.1184010201,-6.10619454748891,"Dead/unknown/not working"
"7","Father_Occ",1,37589.4206658258,11.4395047999303,"Manager"
"8","Father_Occ",2,35247.9673801068,4.49791352103314,"Professional"
"9","Father_Occ",3,35272.077420236,4.56939136998949,"Technician"
"10","Father_Occ",4,34111.5427924595,1.12881149587182,"Clerical"
"11","Father_Occ",5,33927.3854779395,0.58284937217087,"Service"
"12","Father_Occ",6,31184.6576182489,-7.54838088014246,"Agriculture"
"13","Father_Occ",7,31950.3045477987,-5.27850512336629,"Craft/Trades"
"14","Father_Occ",8,34184.4399812788,1.34492620260126,"Plant Operator"
"15","Father_Occ",9,32595.2916620134,-3.36634358064344,"Elementary"
"16","Father_Occ",10,34743.4508972978,3.00219834341804,"Armed forces"
"17","Mother_Occ",0,31764.379881565,-5.82970682768013,"Dead/unknown/not working"
"18","Mother_Occ",1,36924.3032556727,9.46766395991811,"Manager"
"19","Mother_Occ",2,35298.1456948087,4.64667470018999,"Professional"
"20","Mother_Occ",3,36165.0926481305,7.21686965011727,"Technician"
"21","Mother_Occ",4,35268.5788010462,4.55901918592568,"Clerical"
"22","Mother_Occ",5,33323.2181081552,-1.20829588392644,"Service"
"23","Mother_Occ",6,35342.7185356515,4.77881760697247,"Agriculture"
"24","Mother_Occ",7,32729.4329334177,-2.96866155751714,"Craft/Trades"
"25","Mother_Occ",8,33952.5871374488,0.65756349135961,"Plant Operator"
"26","Mother_Occ",9,31021.1358285734,-8.03316587928981,"Elementary"
"27","Mother_Occ",10,36783.9687825846,9.0516212566713,"Armed forces"
"28","Mother_Edu",0,34190.3050746958,1.36231415629727,"Unknown"
"29","Mother_Edu",1,32587.9649811016,-3.38806463082661,"Basic"
"30","Mother_Edu",2,31809.3513153711,-5.69638223196355,"Primary"
"31","Mother_Edu",3,34314.7836349003,1.73134961525578,"Lower Secondary"
"32","Mother_Edu",4,33224.4150406119,-1.50121247387908,"Upper Secondary"
"33","Mother_Edu",5,39231.3270230583,16.3071837408883,"Post Secondary"
"34","Mother_Edu",6,33586.9243635895,-0.42649893154703,"Tertiary"
"35","Father_Edu",0,33122.1407385913,-1.80442006178704,"Unknown"
"36","Father_Edu",1,31045.5515058436,-7.96078192294907,"Basic"
"37","Father_Edu",2,32229.178358009,-4.45174166808997,"Primary"
"38","Father_Edu",3,34531.0575409847,2.3725262167645,"Lower Secondary"
"39","Father_Edu",4,33558.5548975296,-0.510604490854718,"Upper Secondary"
"40","Father_Edu",5,38009.514647774,12.6849367456346,"Post Secondary"
"41","Father_Edu",6,33438.7534694928,-0.865773886346034,"Tertiary"
