"","var","cat","value","value2","class"
"1","Sex",0,3986.55997295927,-1.49466472990086,"Female"
"2","Sex",1,4168.88403433799,3.01044566997716,"Male"
"3","Ethnicity",1,4040.85874384424,-0.152976992338125,"Muslim"
"4","Ethnicity",2,4263.33171235226,5.34418710404162,"christian"
"5","Ethnicity",3,3355.19545242312,-17.0952763336171,"animist"
"6","Ethnicity",4,4208.83899526471,3.99770708043802,"other"
"7","Ethnicity",5,3497.62703561545,-13.575883435836,"atheist"
"8","Father_Occ",1,5325.10515019507,31.5799264846167,"senior executive"
"9","Father_Occ",2,5975.68415188354,47.6553155708713," middle manager"
"10","Father_Occ",3,5644.15284852222,39.46339009837,"skilled worker"
"11","Father_Occ",4,4859.40627909307,20.0728066258988,"Unskilled worker"
"12","Father_Occ",5,4428.10260319288,9.4155699391431,"manual worker"
"13","Father_Occ",6,5532.58296545491,36.7065699797369,"Employer"
"14","Father_Occ",7,3995.06870666224,-1.28441938759582,"self employed"
"15","Father_Occ",8,3897.36162877236,-3.69869849817943,"Other"
"16","Mother_Occ",1,4705.56289359011,16.2714354259552,"senior executive"
"17","Mother_Occ",2,4720.98250176384,16.6524440356812," middle manager"
"18","Mother_Occ",3,4504.12421168796,11.2940150355105,"skilled worker"
"19","Mother_Occ",4,4232.60571884046,4.58496754810457,"Unskilled worker"
"20","Mother_Occ",5,4125.50259823921,1.93851825978031,"manual worker"
"21","Mother_Occ",6,4557.64282329511,12.6164255386287,"Employer"
"22","Mother_Occ",7,4256.28588615174,5.17008926609509,"self employed"
"23","Mother_Occ",8,3854.71617699739,-4.75244020865952,"Other"
"24","Mother_Edu",1,4004.07507693635,-1.06187776538614,"no school"
"25","Mother_Edu",2,4707.84298345587,16.3277749814105,"primary"
"26","Mother_Edu",3,5082.40449928864,25.5829493539648,"secondary I cycle"
"27","Mother_Edu",4,4819.04912312153,19.0756072343209,"secondary II cycle"
"28","Mother_Edu",5,4936.60710139854,21.9803893377885,"superior"
"29","Father_Edu",1,3956.30167471015,-2.24232783642618,"no school"
"30","Father_Edu",2,5352.62209707429,32.2598525603143,"primary"
"31","Father_Edu",3,5717.04838683939,41.2645920093743,"secondary I cycle"
"32","Father_Edu",4,5852.83538060581,44.6198013720848,"secondary II cycle"
"33","Father_Edu",5,6484.57472132469,60.2296745416663,"superior"
