"","var","cat","value","value2","class"
"1","Sex",1,17619.4523094153,0.598477311317353,"Male"
"2","Sex",2,17400.0222072496,-0.654361526490703,"Female"
"3","Birth_Area",1,17520.8945270995,0.0357604541733565,"Local"
"4","Birth_Area",2,17526.0955365706,0.0654556810216889,"European Union"
"5","Birth_Area",3,17516.877517416,0.0128252885159981,"Other"
"6","Father_Occ",0,16698.0175549912,-4.66246562884815,"Dead/unknown/not working"
"7","Father_Occ",1,19278.77240028,10.0723855566867,"Manager"
"8","Father_Occ",2,21738.9656613261,24.1188889102868,"Professional"
"9","Father_Occ",3,19875.9685125939,13.4820840251748,"Technician"
"10","Father_Occ",4,20330.6223383002,16.077935574169,"Clerical"
"11","Father_Occ",5,17868.9705229248,2.02310458688143,"Service"
"12","Father_Occ",6,16084.8303541446,-8.16346541185456,"Agriculture"
"13","Father_Occ",7,16711.0675664267,-4.5879564297958,"Craft/Trades"
"14","Father_Occ",8,16824.9666109749,-3.93764844930108,"Plant Operator"
"15","Father_Occ",9,15723.5502067238,-10.2261988087331,"Elementary"
"16","Father_Occ",10,17419.247197184,-0.54459621257736,"Armed forces"
"17","Mother_Occ",0,16671.6008745596,-4.81329198714614,"Dead/unknown/not working"
"18","Mother_Occ",1,18946.0803651317,8.17287633461873,"Manager"
"19","Mother_Occ",2,20418.6704236949,16.580647188885,"Professional"
"20","Mother_Occ",3,22489.1174582766,28.4018897210013,"Technician"
"21","Mother_Occ",4,18778.1988187701,7.21435460329195,"Clerical"
"22","Mother_Occ",5,17848.5314000337,1.90640716608075,"Service"
"23","Mother_Occ",6,16658.8762569426,-4.88594334623261,"Agriculture"
"24","Mother_Occ",7,16964.7990339362,-3.13927352926247,"Craft/Trades"
"25","Mother_Occ",8,16977.6721316948,-3.0657744210007,"Plant Operator"
"26","Mother_Occ",9,16193.9507496753,-7.54044118605995,"Elementary"
"27","Mother_Occ",10,17650.8988897423,0.778021944259606,"Armed forces"
"28","Mother_Edu",0,18091.6657570519,3.29458573534487,"Unknown"
"29","Mother_Edu",1,16669.8272766992,-4.82341836570671,"Low"
"30","Mother_Edu",2,18058.7656968732,3.1067424415064,"Medium"
"31","Mother_Edu",3,20906.1991685532,19.3641984887194,"High"
"32","Father_Edu",0,17518.9318233022,0.0245543729652127,"Unknown"
"33","Father_Edu",1,16759.5465231438,-4.31116523664568,"Low"
"34","Father_Edu",2,17489.9449105547,-0.140946758008951,"Medium"
"35","Father_Edu",3,21807.5106759866,24.5102475053802,"High"
