"","var","cat","value","value2","class"
"1","Sex",0,12709.2577357315,-1.46076817173683,"Female"
"2","Sex",1,13125.0225997789,1.76279933915175,"Male"
"3","Birth_Area",11,12955.4130210855,0.447758135118249,"Rondônia"
"4","Birth_Area",11,12955.4130210855,0.447758135118249,"Rondônia"
"5","Birth_Area",12,12242.806311106,-5.07732596162036,"Acre"
"6","Birth_Area",12,12242.806311106,-5.07732596162036,"Acre"
"7","Birth_Area",13,11611.4641600396,-9.97233807644912,"Amazonas"
"8","Birth_Area",13,11611.4641600396,-9.97233807644912,"Amazonas"
"9","Birth_Area",14,12408.2072924324,-3.79491545563815,"Roraima"
"10","Birth_Area",14,12408.2072924324,-3.79491545563815,"Roraima"
"11","Birth_Area",15,11216.2444931974,-13.0366116307234,"Pará"
"12","Birth_Area",15,11216.2444931974,-13.0366116307234,"Pará"
"13","Birth_Area",16,12818.1078352592,-0.616816037402032,"Amapá"
"14","Birth_Area",16,12818.1078352592,-0.616816037402032,"Amapá"
"15","Birth_Area",17,12514.7908721944,-2.96853642598587,"Tocantins"
"16","Birth_Area",17,12514.7908721944,-2.96853642598587,"Tocantins"
"17","Birth_Area",21,11290.8877320138,-12.457877013243,"Maranhão"
"18","Birth_Area",21,11290.8877320138,-12.457877013243,"Maranhão"
"19","Birth_Area",22,12234.4902200926,-5.14180346591777,"Piauí"
"20","Birth_Area",22,12234.4902200926,-5.14180346591777,"Piauí"
"21","Birth_Area",23,11380.0178356153,-11.7668207671361,"Ceará"
"22","Birth_Area",23,11380.0178356153,-11.7668207671361,"Ceará"
"23","Birth_Area",24,11233.9611421995,-12.8992483779244,"Rio Grande do Norte"
"24","Birth_Area",24,11233.9611421995,-12.8992483779244,"Rio Grande do Norte"
"25","Birth_Area",25,11241.1633246539,-12.843407388521,"Paraíba"
"26","Birth_Area",25,11241.1633246539,-12.843407388521,"Paraíba"
"27","Birth_Area",26,11223.0197757798,-12.9840805423644,"Pernambuco"
"28","Birth_Area",26,11223.0197757798,-12.9840805423644,"Pernambuco"
"29","Birth_Area",27,11211.6081092561,-13.072559104725,"Alagoas"
"30","Birth_Area",27,11211.6081092561,-13.072559104725,"Alagoas"
"31","Birth_Area",28,11900.0173862311,-7.73508600070161,"Sergipe"
"32","Birth_Area",28,11900.0173862311,-7.73508600070161,"Sergipe"
"33","Birth_Area",29,11684.9437374975,-9.40262572437284,"Bahia"
"34","Birth_Area",29,11684.9437374975,-9.40262572437284,"Bahia"
"35","Birth_Area",31,13421.1924153368,4.0591054431458,"Minas Gerais"
"36","Birth_Area",31,13421.1924153368,4.0591054431458,"Minas Gerais"
