"","var","cat","value","value2","class"
"1","Sex",0,12279.9854328555,-7.32168249355057,"Female"
"2","Sex",1,15038.9814345806,13.5007450936,"Male"
"3","Birth_Area",1,14599.5527161505,10.18433120119,"Tarapcá"
"4","Birth_Area",2,15180.6234918537,14.5697323190332,"Antofagasta"
"5","Birth_Area",3,14186.8911561777,7.06993181635536,"Atacama"
"6","Birth_Area",4,14538.6319611701,9.72455597558563,"Coquimbo"
"7","Birth_Area",5,12178.7507612027,-8.08571100917069,"Valparaíso"
"8","Birth_Area",6,13559.6428898965,2.33602441103788,"Libertador Gral.Bdo. O'Higgins"
"9","Birth_Area",7,13276.7670400868,0.201131176277229,"Maule"
"10","Birth_Area",8,12766.3873754774,-3.65075682995378,"Biobío"
"11","Birth_Area",9,12416.837373601,-6.28884677195074,"Araucanía"
"12","Birth_Area",10,12319.239439853,-7.02542845124725,"Los Lagos"
"13","Birth_Area",12,12127.3909643992,-8.4733286966064,"Magallanes"
"14","Birth_Area",13,13259.9638375131,0.0743156721570557,"Metropolitana de Santiago"
"15","Birth_Area",14,14206.9497359305,7.22131598804053,"Los Ríos"
"16","Birth_Area",15,14807.5842996335,11.75436703314,"Arica and Perinacota"
"17","Mother_Edu",0,11065.0223165204,-16.4911345315852,"Years of Education"
"18","Mother_Edu",1,10672.4266895674,-19.45409424887,"Years of Education"
"19","Mother_Edu",2,11039.1155509217,-16.6866555654534,"Years of Education"
"20","Mother_Edu",3,11213.0608920712,-15.3738721225114,"Years of Education"
"21","Mother_Edu",4,11842.4499625953,-10.6238078466165,"Years of Education"
"22","Mother_Edu",5,10697.0991315316,-19.2678887828683,"Years of Education"
"23","Mother_Edu",6,13430.4022660311,1.3606320835129,"Years of Education"
"24","Mother_Edu",7,11484.1063591311,-13.3282640074036,"Years of Education"
"25","Mother_Edu",8,11964.3376358286,-9.70390899642608,"Years of Education"
"26","Mother_Edu",9,12496.2687872046,-5.68936969519106,"Years of Education"
"27","Mother_Edu",10,14988.5683555415,13.1202723828455,"Years of Education"
"28","Mother_Edu",11,14908.083099636,12.5128418494638,"Years of Education"
"29","Mother_Edu",12,17743.2021549982,33.9097779792443,"Years of Education"
"30","Mother_Edu",13,11377.5636280977,-14.1323529950255,"Years of Education"
"31","Mother_Edu",14,19837.2995604538,49.7141472346819,"Years of Education"
"32","Mother_Edu",15,21313.3638645437,60.8541568855377,"Years of Education"
"33","Father_Edu",0,11029.2329573494,-16.7612405191484,"Years of Education"
"34","Father_Edu",1,11032.9527609845,-16.7331667771854,"Years of Education"
"35","Father_Edu",2,11372.6129790058,-14.1697160546894,"Years of Education"
"36","Father_Edu",3,11932.2096047953,-9.94638256264037,"Years of Education"
"37","Father_Edu",4,12133.885781786,-8.42431163944333,"Years of Education"
"38","Father_Edu",5,11954.500810042,-9.77814853591842,"Years of Education"
"39","Father_Edu",6,12686.5662298591,-4.25317525445399,"Years of Education"
"40","Father_Edu",7,12072.7743840871,-8.88552566532043,"Years of Education"
"41","Father_Edu",8,11446.5400930902,-13.6117804945126,"Years of Education"
"42","Father_Edu",9,14117.5488023341,6.54659791491814,"Years of Education"
"43","Father_Edu",10,13971.5231901923,5.4445275484552,"Years of Education"
"44","Father_Edu",11,14612.0956591387,10.2789940865067,"Years of Education"
"45","Father_Edu",12,14411.3270172273,8.76377242422217,"Years of Education"
"46","Father_Edu",13,15189.4313818309,14.6362063737731,"Years of Education"
"47","Father_Edu",14,16944.8257322623,27.8843487146447,"Years of Education"
"48","Father_Edu",15,24469.6122893101,84.6746895106907,"Years of Education"
"49","Ethnicity",1,10733.1758201593,-18.99561429024,"Aymara"
"50","Ethnicity",2,13494.2911373668,1.84280798959639,"Rapa Nui"
"51","Ethnicity",3,9636.29177885023,-27.2739113618478,"Quechua"
"52","Ethnicity",4,11152.601719326,-15.8301637393458,"Mapuche"
"53","Ethnicity",5,11075.7933864143,-16.4098441553899,"Atacameño"
"54","Ethnicity",6,12253.4168159418,-7.52219858760503,"Coya"
"55","Ethnicity",7,10232.5567135053,-22.7738383581722,"Kawaskar"
"56","Ethnicity",8,25748.781517092,94.3287116986696,"Yagan"
"57","Ethnicity",9,9769.41734318293,-26.2691989876425,"Diaguita"
"58","Ethnicity",10,13684.7517892286,3.28023418706577,"Other"
