"","var","cat","value","value2","class"
"1","Sex",1,45973.0596102224,2.33326303681108,"Male"
"2","Sex",2,44030.0287717543,-1.9918066358932,"Female"
"3","Birth_Area",1,45136.5764415631,0.471301861069648,"Local"
"4","Birth_Area",2,47053.6697521399,4.73863615817046,"European Union"
"5","Birth_Area",3,39896.1466622911,-11.1935793448994,"Other"
"6","Father_Occ",0,42661.8117276152,-5.03737540717863,"Dead/unknown/not working"
"7","Father_Occ",1,49764.1013636606,10.7718937528718,"Manager"
"8","Father_Occ",2,48423.9845370955,7.7888743742258,"Professional"
"9","Father_Occ",3,44804.2956886961,-0.268335090951922,"Technician"
"10","Father_Occ",4,48329.4218401095,7.57838350356862,"Clerical"
"11","Father_Occ",5,45343.7259314958,0.932404154911922,"Service"
"12","Father_Occ",6,41679.1631754113,-7.22469192728805,"Agriculture"
"13","Father_Occ",7,42025.3504733595,-6.45409984311327,"Craft/Trades"
"14","Father_Occ",8,41600.9626385574,-7.39876161452099,"Plant Operator"
"15","Father_Occ",9,42239.7069581658,-5.97695521255547,"Elementary"
"16","Father_Occ",10,46585.1935948866,3.69583643517764,"Armed forces"
"17","Mother_Occ",0,45220.8384595001,0.658864040282111,"Dead/unknown/not working"
"18","Mother_Occ",1,49550.7610593827,10.2970110789946,"Manager"
"19","Mother_Occ",2,47501.6338530765,5.73577727866277,"Professional"
"20","Mother_Occ",3,46306.9602561076,3.07650577317071,"Technician"
"21","Mother_Occ",4,45003.0009197365,0.173970790954797,"Clerical"
"22","Mother_Occ",5,45884.6182758951,2.13639795091564,"Service"
"23","Mother_Occ",6,43158.5632558146,-3.93163641068449,"Agriculture"
"24","Mother_Occ",7,42304.5960835816,-5.83251592581442,"Craft/Trades"
"25","Mother_Occ",8,44909.4463121279,-0.034276133437146,"Plant Operator"
"26","Mother_Occ",9,44059.4393691763,-1.92634041659933,"Elementary"
"27","Mother_Occ",10,47261.1024676013,5.20036889498917,"Armed forces"
"28","Mother_Edu",1,42740.9976434592,-4.86111232563512,"None"
"29","Mother_Edu",2,44446.8604760292,-1.06396435614718,"Low"
"30","Mother_Edu",3,45766.3760157467,1.87319779820817,"Medium"
"31","Mother_Edu",4,46116.6110699436,2.65279994411082,"High"
"32","Father_Edu",1,42649.3495537516,-5.06511545595517,"None"
"33","Father_Edu",2,42770.7855050226,-4.79480633907433,"Low"
"34","Father_Edu",3,44690.3083665421,-0.522064007838111,"Medium"
"35","Father_Edu",4,49147.1134170737,9.39851572748199,"High"
