"","var","cat","value","value2","class"
"1","Sex",1,35317.4467116183,-0.340543676290054,"Male"
"2","Sex",2,35528.0791415431,0.253823000946028,"Female"
"3","Birth_Area",1,37036.0067682123,4.50892243314593,"Local"
"4","Birth_Area",2,29006.7864048141,-18.1480873629867,"European Union"
"5","Birth_Area",3,29247.2985410575,-17.4694055507654,"Other"
"6","Father_Occ",0,33678.8557536501,-4.96435143174523,"Dead/unknown/not working"
"7","Father_Occ",1,41437.4646750081,16.9290417471127,"Manager"
"8","Father_Occ",2,37647.929893718,6.23565898060271,"Professional"
"9","Father_Occ",3,37891.5442074439,6.9230945774292,"Technician"
"10","Father_Occ",4,36697.1706262484,3.552788034001,"Clerical"
"11","Father_Occ",5,34486.2781721469,-2.68595118644964,"Service"
"12","Father_Occ",6,36427.445504493,2.79167245250167,"Agriculture"
"13","Father_Occ",7,33352.3693110991,-5.88563720949071,"Craft/Trades"
"14","Father_Occ",8,34486.8477297832,-2.68434399766153,"Plant Operator"
"15","Father_Occ",9,33693.049570333,-4.92429904445551,"Elementary"
"16","Father_Occ",10,38337.4614802899,8.18139258917542,"Armed forces"
"17","Mother_Occ",0,33943.5166468054,-4.21752618876056,"Dead/unknown/not working"
"18","Mother_Occ",1,39960.6871089648,12.7618421603287,"Manager"
"19","Mother_Occ",2,42328.2202974328,19.4425932439973,"Professional"
"20","Mother_Occ",3,40534.448548864,14.380893322967,"Technician"
"21","Mother_Occ",4,39519.8798705819,11.51796374297,"Clerical"
"22","Mother_Occ",5,34561.4055452385,-2.4739553075155,"Service"
"23","Mother_Occ",6,34819.5677636802,-1.7454681509183,"Agriculture"
"24","Mother_Occ",7,39175.6532450152,10.5466183726142,"Craft/Trades"
"25","Mother_Occ",8,33423.8505115282,-5.68393017131491,"Plant Operator"
"26","Mother_Occ",9,33101.1930330349,-6.59441130399655,"Elementary"
"27","Mother_Edu",0,34130.7267596816,-3.68925306018789,"Unknown"
"28","Mother_Edu",1,32988.6779705777,-6.91190849014008,"Low"
"29","Mother_Edu",2,37157.9813736457,4.85311274118409,"Medium"
"30","Mother_Edu",3,43328.9082626638,22.2663539586074,"High"
"31","Father_Edu",0,33690.1053435389,-4.9326071207439,"Unknown"
"32","Father_Edu",1,33727.2388037813,-4.82782320220662,"Low"
"33","Father_Edu",2,35864.5346176646,1.20323959102976,"Medium"
"34","Father_Edu",3,41102.9290766248,15.9850427052783,"High"
