"","var","cat","value","value2","class"
"1","Sex",1,24574.0564280023,2.46681445978416,"Male"
"2","Sex",2,23369.0718650982,-2.5576278823155,"Female"
"3","Birth_Area",1,23970.6564071743,-0.0491917258599273,"Local"
"4","Birth_Area",2,24508.3001963095,2.19262970676262,"European Union"
"5","Birth_Area",3,23374.5731369002,-2.53468914614537,"Other"
"6","Father_Occ",0,23193.8853624968,-3.28810568969382,"Dead/unknown/not working"
"7","Father_Occ",1,25386.3431964575,5.85381887378016,"Manager"
"8","Father_Occ",2,24923.2892231868,3.92301572359605,"Professional"
"9","Father_Occ",3,24803.7679727609,3.42464615944706,"Technician"
"10","Father_Occ",4,24425.1744743892,1.84601912784618,"Clerical"
"11","Father_Occ",5,23559.38281177,-1.76408545193075,"Service"
"12","Father_Occ",6,23401.7482783781,-2.42137654804458,"Agriculture"
"13","Father_Occ",7,23583.2729491974,-1.66447038486353,"Craft/Trades"
"14","Father_Occ",8,23795.8832946933,-0.777945814205594,"Plant Operator"
"15","Father_Occ",9,23431.9982122851,-2.29524294148497,"Elementary"
"16","Mother_Occ",0,22634.4873875552,-5.62063587963046,"Dead/unknown/not working"
"17","Mother_Occ",1,25624.6642676625,6.84754984597694,"Manager"
"18","Mother_Occ",2,25555.7277060371,6.56010402317372,"Professional"
"19","Mother_Occ",3,25583.0136768837,6.67387874816824,"Technician"
"20","Mother_Occ",4,24969.4331464953,4.11542273795902,"Clerical"
"21","Mother_Occ",5,23554.1664889894,-1.78583603185996,"Service"
"22","Mother_Occ",6,23057.7343433583,-3.85581665175853,"Agriculture"
"23","Mother_Occ",7,22726.9411158439,-5.23513017159128,"Craft/Trades"
"24","Mother_Occ",8,23278.0936262502,-2.93698121973559,"Plant Operator"
"25","Mother_Occ",9,22678.4519435433,-5.43731620611847,"Elementary"
"26","Mother_Edu",0,23551.1126678202,-1.79856959613987,"Unknown"
"27","Mother_Edu",1,23025.9380808728,-3.98839800796102,"Low"
"28","Mother_Edu",2,24453.802229085,1.96538870923393,"Medium"
"29","Mother_Edu",3,24889.2604514679,3.78112543990444,"High"
"30","Father_Edu",0,23438.9411190818,-2.26629299809093,"Unknown"
"31","Father_Edu",1,22821.6950521771,-4.84003325130718,"Low"
"32","Father_Edu",2,24544.8715809698,2.3451219620606,"Medium"
"33","Father_Edu",3,26705.6762064643,11.3550616638385,"High"
