"","var","cat","value","value2","class"
"1","Sex",1,40196.2700415556,1.2099780898418,"Male"
"2","Sex",2,39256.3695354966,-1.15659247818645,"Female"
"3","Birth_Area",1,40034.9670854139,0.803834220272577,"Local"
"4","Birth_Area",2,35548.4519253399,-10.4927388344262,"European Union"
"5","Birth_Area",3,36573.2789799702,-7.91233215396117,"Other"
"6","Father_Occ",0,37047.7542687969,-6.71765330598144,"Dead/unknown/not working"
"7","Father_Occ",1,42663.3795976649,7.42190033687919,"Manager"
"8","Father_Occ",2,42023.9907994664,5.8119866262375,"Professional"
"9","Father_Occ",3,41068.4952287756,3.40614932654319,"Technician"
"10","Father_Occ",4,40742.4770794478,2.5852699335984,"Clerical"
"11","Father_Occ",5,38384.8460174155,-3.35099698583309,"Service"
"12","Father_Occ",6,39667.8917020655,-0.120422967461735,"Agriculture"
"13","Father_Occ",7,37353.3767799972,-5.94812798359806,"Craft/Trades"
"14","Father_Occ",8,38532.7996600641,-2.97846528288423,"Plant Operator"
"15","Father_Occ",9,38372.2187898469,-3.38279101608093,"Elementary"
"16","Father_Occ",10,37990.5362614878,-4.34382745783458,"Armed forces"
"17","Mother_Occ",0,37437.1312105023,-5.73724314110915,"Dead/unknown/not working"
"18","Mother_Occ",1,39875.3438664612,0.401919752185577,"Manager"
"19","Mother_Occ",2,42105.0608984651,6.01611260446666,"Professional"
"20","Mother_Occ",3,41286.9817108991,3.95627529708189,"Technician"
"21","Mother_Occ",4,39799.9344847175,0.212046864324051,"Clerical"
"22","Mother_Occ",5,39338.4402566826,-0.949947038585563,"Service"
"23","Mother_Occ",6,41170.1906001073,3.66220757009849,"Agriculture"
"24","Mother_Occ",7,39013.360426373,-1.76846384298231,"Craft/Trades"
"25","Mother_Occ",8,38383.7835257632,-3.35367222800708,"Plant Operator"
"26","Mother_Occ",9,35797.0828736784,-9.86671227007636,"Elementary"
"27","Mother_Occ",10,41442.8456050364,4.34872418087937,"Armed forces"
"28","Mother_Edu",0,37388.4265287912,-5.85987640443828,"Unknown"
"29","Mother_Edu",1,37793.9713532115,-4.83875721224466,"Low"
"30","Mother_Edu",2,40624.5149373831,2.28825367309813,"Medium"
"31","Mother_Edu",3,40461.0270671042,1.87660841965123,"High"
"32","Father_Edu",0,38435.0873767922,-3.22449452984746,"Unknown"
"33","Father_Edu",1,38770.8189963728,-2.37915764095965,"Low"
"34","Father_Edu",2,40503.2653378864,1.98295994072502,"Medium"
"35","Father_Edu",3,39658.1763351483,-0.144885239005902,"High"
