"","var","cat","value","value2","class"
"1","Sex",1,22780.1705789109,1.27138161265474,"Male"
"2","Sex",2,22321.656577573,-0.766985318944322,"Female"
"3","Birth_Area",1,23225.594521587,3.25155546262278,"Local"
"4","Birth_Area",2,21455.9737452953,-4.61545941879456,"European Union"
"5","Birth_Area",3,15585.9532934854,-30.7111850495617,"Other"
"6","Father_Occ",0,22352.6744634892,-0.629092402358822,"Dead/unknown/not working"
"7","Father_Occ",1,24657.9044654233,9.61902345007192,"Manager"
"8","Father_Occ",2,25389.5406966773,12.8715808319538,"Professional"
"9","Father_Occ",3,23194.4121881484,3.11293147917651,"Technician"
"10","Father_Occ",4,24085.2772930849,7.07335573038669,"Clerical"
"11","Father_Occ",5,26108.8217916104,16.0692122982947,"Service"
"12","Father_Occ",6,20662.4318454193,-8.143224247842,"Agriculture"
"13","Father_Occ",7,22956.7321871596,2.05630277666273,"Craft/Trades"
"14","Father_Occ",8,23030.6481870113,2.38490327604612,"Plant Operator"
"15","Father_Occ",9,20206.9320577632,-10.1681912102448,"Elementary"
"16","Father_Occ",10,23904.5188462639,6.26977712748256,"Armed forces"
"17","Mother_Occ",0,22255.6664467603,-1.06035062527728,"Dead/unknown/not working"
"18","Mother_Occ",1,23915.1232725271,6.31692009751248,"Manager"
"19","Mother_Occ",2,24876.1346836449,10.589186321872,"Professional"
"20","Mother_Occ",3,26244.2688729495,16.6713549826568,"Technician"
"21","Mother_Occ",4,23395.7259491845,4.00789065637576,"Clerical"
"22","Mother_Occ",5,22881.1246671249,1.72018246589968,"Service"
"23","Mother_Occ",6,21995.841948968,-2.21542476210563,"Agriculture"
"24","Mother_Occ",7,22872.7958363636,1.68315586877706,"Craft/Trades"
"25","Mother_Occ",8,23216.2275474209,3.2099137017742,"Plant Operator"
"26","Mother_Occ",9,23036.3497776241,2.41025023105416,"Elementary"
"27","Mother_Occ",10,23597.5677390181,4.90519723504323,"Armed forces"
"28","Mother_Edu",1,20777.8258256992,-7.63022950215965,"None"
"29","Mother_Edu",2,21987.2585513322,-2.25358306010864,"Low"
"30","Mother_Edu",3,26322.4042214755,17.0187129917026,"Medium"
"31","Mother_Edu",4,26651.3910373292,18.4812546903454,"High"
"32","Father_Edu",0,22270.9090812891,-0.992588066046224,"Unknown"
"33","Father_Edu",1,19813.6050077011,-11.9167634453577,"None"
"34","Father_Edu",2,21996.7572285317,-2.21135580109164,"Low"
"35","Father_Edu",3,25189.0416503295,11.9802435451971,"Medium"
"36","Father_Edu",4,29072.8831177414,29.2462245002938,"High"
