"","var","cat","value","value2","class"
"1","Sex",1,115.470339784152,1.21522254212152,"female"
"2","Sex",2,112.566706706351,-1.32994939293738,"male"
"3","Ethnicity",1,122.88683063075,7.71612808135539,"Akan"
"4","Ethnicity",2,121.253592774644,6.28451773553864,"All Other Tribes"
"5","Ethnicity",3,113.794100993767,-0.254080159504653,"Ewe"
"6","Ethnicity",4,124.504653311049,9.13422629537514,"Ga-Dangme"
"7","Ethnicity",5,96.2541275641686,-15.62869772258,"Grusi"
"8","Ethnicity",6,121.677939409461,6.65647766185623,"Guan"
"9","Ethnicity",7,113.029732228116,-0.924085590026976,"Gurma"
"10","Ethnicity",8,116.704363317151,2.29690262332888,"Mande"
"11","Ethnicity",9,105.297492639216,-7.70175985860928,"Mole-DagbaniI"
"12","Birth_Area",1,118.627248226018,3.98240233119901,"Africa other than ECOWAS"
"13","Birth_Area",2,116.884675686159,2.45495495599093,"Ashanti"
"14","Birth_Area",3,111.336297011643,-2.40846177369727,"BrongAhafo"
"15","Birth_Area",4,125.922708564744,10.3772188971815,"Central"
"16","Birth_Area",5,119.325233928086,4.59421986198669,"Eastern"
"17","Birth_Area",6,150.14255179623,31.6070587607563,"Greater Accra"
"18","Birth_Area",7,117.206268798175,2.73684655223647,"Northern"
"19","Birth_Area",8,116.121558781746,1.78604684114379,"Other ECOWAS"
"20","Birth_Area",9,128.381773706486,12.5327059775194,"Outside Africa"
"21","Birth_Area",10,108.500425420605,-4.89423755581096,"Upper East"
"22","Birth_Area",11,98.2238503642791,-13.902142384368,"Upper West"
"23","Birth_Area",12,116.018878373292,1.6960425992592,"Volta"
"24","Birth_Area",13,115.199452895021,0.977777352141302,"Western"
"25","Father_Occ",1,127.12946054078,11.4349941668827," Sales"
"26","Father_Occ",2,126.435135240588,10.8263851517279,"Administrative"
"27","Father_Occ",3,111.854786334995,-1.95398132142813,"Agri,Fish,Hunt"
"28","Father_Occ",4,117.835178864442,3.28811601619743,"Clerical"
"29","Father_Occ",5,112.860876968692,-1.07209522342632,"Homeworker"
"30","Father_Occ",6,117.471914388644,2.96969749566362,"Production"
"31","Father_Occ",7,121.291799799854,6.31800800296644,"Professional"
"32","Father_Occ",8,123.027878875296,7.83976354902255,"Service"
"33","Mother_Occ",1,131.53769751072,15.2990226850707," Sales"
"34","Mother_Occ",2,131.182561341611,14.9877290103812,"Administrative"
"35","Mother_Occ",3,103.147290045406,-9.58651428515711,"Agri,Fish,Hunt"
"36","Mother_Occ",4,124.060470728916,8.74487922162456,"Clerical"
"37","Mother_Occ",5,141.226906900057,23.7920736835539,"Homeworker"
"38","Mother_Occ",6,118.862602124445,4.18870117166297,"Production"
"39","Mother_Occ",7,138.728317467999,21.6019416905253,"Professional"
"40","Mother_Occ",8,124.356456476731,9.00432475015116,"Service"
"41","Mother_Edu",1,111.254764790156,-2.47992862793558,"No school"
"42","Mother_Edu",2,121.582686034167,6.57298356634821,"Primary School"
"43","Mother_Edu",3,124.45843169327,9.0937108579175,"Middle School"
"44","Mother_Edu",4,127.195788318536,11.4931336059698,"Secondary School"
"45","Mother_Edu",5,136.040390344533,19.2458462422295,"Theacher, Nursing Trean"
"46","Mother_Edu",6,131.951752571338,15.6619615591013,"First Degree"
"47","Mother_Edu",7,127.271357527878,11.5593735976009,"Post Graduate"
"48","Father_Edu",1,110.892263901801,-2.79767782790502,"No school"
"49","Father_Edu",2,113.799593536598,-0.249265685536471,"Primary School"
"50","Father_Edu",3,123.292280639472,8.07152421978584,"Middle School"
"51","Father_Edu",4,128.104266489845,12.2894577568778,"Secondary School"
"52","Father_Edu",5,125.2644261729,9.80020319851269,"Theacher, Nursing Trean"
"53","Father_Edu",6,127.685628387576,11.9225016297467,"First Degree"
"54","Father_Edu",7,125.442055131906,9.95590339519802,"Post Graduate"
