"","var","cat","value","value2","class"
"1","Sex",0,4418.89584892009,-0.661126325714307,"Female"
"2","Sex",1,4485.7229067006,0.841177615779429,"Male"
"3","Ethnicity",1,4460.11672511617,0.265538513916908,"Fula"
"4","Ethnicity",2,4044.01672058483,-9.08858686021041,"Balanta"
"5","Ethnicity",3,4882.25493623562,9.75540563484766,"Mandinga"
"6","Ethnicity",4,4775.61035014415,7.35798477950516,"Papel"
"7","Ethnicity",5,5059.91780564787,13.7493511688812,"Manjaco"
"8","Ethnicity",6,4166.99459854533,-6.32398586006795,"Beafada"
"9","Ethnicity",7,5306.97053259698,19.3032135979502,"Mancanha"
"10","Ethnicity",8,3949.56160812913,-11.2119825692131,"Bijagos"
"11","Ethnicity",9,4183.77306639186,-5.94679794823658,"Felupe"
"12","Father_Occ",1,5030.14230104544,13.0799837089055,"Services, education, entertainment"
"13","Father_Occ",2,4735.57864225675,6.45805300723579,"Restaurant/Hotel"
"14","Father_Occ",3,4824.23201456345,8.45102284709445,"Transport"
"15","Father_Occ",4,5470.05799031457,22.9694969669115,"Commerce"
"16","Father_Occ",5,4919.51765225711,10.5930891571972,"BTP"
"17","Father_Occ",6,4788.47753046203,7.64724509335802,"Industry, electricity, water"
"18","Father_Occ",7,4707.2528655155,5.82127611689276,"Extractive industry"
"19","Father_Occ",8,4201.29752995284,-5.55283969906901,"Agriculture, Livestock and Fisheries"
"20","Father_Occ",9,4872.46529850866,9.5353299374959,"Unemployed"
"21","Mother_Occ",1,5140.17369493325,15.5535416091892,"Services, education, entertainment"
"22","Mother_Occ",2,4999.0624059349,12.3812929318984,"Restaurant/Hotel"
"23","Mother_Occ",3,4754.07446391657,6.87384784698421,"Transport"
"24","Mother_Occ",4,5104.04158077911,14.7412745528338,"Commerce"
"25","Mother_Occ",5,4754.37158480018,6.8805272653123,"BTP"
"26","Mother_Occ",6,4653.48535318436,4.61255694860807,"Industry, electricity, water"
"27","Mother_Occ",7,4303.58644129842,-3.2533364770317,"Extractive industry"
"28","Mother_Occ",8,4220.95718972396,-5.11088122680496,"Agriculture, Livestock and Fisheries"
"29","Mother_Occ",9,5012.97040457198,12.693951335017,"Unemployed"
"30","Mother_Edu",1,4399.56856807305,-1.0956127621847,"No school"
"31","Mother_Edu",2,4664.19648519022,4.85334827422811,"Primary (1-9 grade)"
"32","Mother_Edu",3,4724.56285689573,6.21041292975612,"Secondary (10-12 grade)"
"33","Mother_Edu",4,4759.6289762806,6.99871591831197,"Technical/Professional"
"34","Mother_Edu",5,5300.37903107832,19.1550335187916,"Post secondary"
"35","Father_Edu",1,4267.01776989195,-4.07541754739049,"No school"
"36","Father_Edu",2,4791.34502958998,7.71170783323048,"Primary (1-9 grade)"
"37","Father_Edu",3,4878.91683794181,9.6803636026162,"Secondary (10-12 grade)"
"38","Father_Edu",4,4895.09174359157,10.0439831501165,"Technical/Professional"
"39","Father_Edu",5,4979.5883047164,11.9435059038702,"Post secondary"
