"","var","cat","value","value2","class"
"1","Sex",1,12383.7079498314,1.10858484584143,"Male"
"2","Sex",2,12151.1455450214,-0.790204735917655,"Female"
"3","Birth_Area",1,12258.0981689408,0.0830255190145834,"Local"
"4","Birth_Area",2,12418.9984082792,1.39671892706086,"European Union"
"5","Birth_Area",3,12319.9118144298,0.587712018799863,"Other"
"6","Father_Occ",0,11716.5961749768,-4.33814627562917,"Dead/unknown/not working"
"7","Father_Occ",1,13997.9844252023,14.2885799358344,"Manager"
"8","Father_Occ",2,13117.0169626906,7.0957929458116,"Professional"
"9","Father_Occ",3,13282.5299137235,8.44714750943552,"Technician"
"10","Father_Occ",4,12807.0462478853,4.56499195756246,"Clerical"
"11","Father_Occ",5,12410.8147726624,1.32990244370588,"Service"
"12","Father_Occ",6,11845.2848366385,-3.2874489789037,"Agriculture"
"13","Father_Occ",7,12273.6605110962,0.210086525184735,"Craft/Trades"
"14","Father_Occ",8,12085.0379502082,-1.32994980954182,"Plant Operator"
"15","Father_Occ",9,11374.269073097,-7.13312569259065,"Elementary"
"16","Father_Occ",10,12574.2584176293,2.6643618569602,"Armed forces"
"17","Mother_Occ",0,11814.3697068624,-3.53986005276411,"Dead/unknown/not working"
"18","Mother_Occ",1,13307.8525856449,8.65389814768244,"Manager"
"19","Mother_Occ",2,13099.3320334567,6.9514017686958,"Professional"
"20","Mother_Occ",3,13556.2411041487,10.681902336704,"Technician"
"21","Mother_Occ",4,13673.1062141799,11.6360645263309,"Clerical"
"22","Mother_Occ",5,12299.9891882853,0.42505083976954,"Service"
"23","Mother_Occ",6,11915.2151510117,-2.71649275539282,"Agriculture"
"24","Mother_Occ",7,12029.4397007969,-1.78388980398081,"Craft/Trades"
"25","Mother_Occ",8,12093.5419150904,-1.26051795130533,"Plant Operator"
"26","Mother_Occ",9,11570.6192717168,-5.52999593556834,"Elementary"
"27","Mother_Occ",10,12498.5492133048,2.04622304586556,"Armed forces"
"28","Mother_Edu",0,12400.9422635915,1.24929690737699,"Unknown"
"29","Mother_Edu",1,11078.1482544903,-9.55084718877052,"None"
"30","Mother_Edu",2,11963.5420412441,-2.32192083063565,"Low"
"31","Mother_Edu",3,12880.807333519,5.16722507023998,"Medium"
"32","Mother_Edu",4,14249.9949563624,16.3461565740326,"High"
"33","Father_Edu",0,11928.4716038839,-2.6082585176819,"Unknown"
"34","Father_Edu",1,11379.1130148499,-7.09357662556647,"None"
"35","Father_Edu",2,11762.9896531097,-3.95935997518505,"Low"
"36","Father_Edu",3,13023.1074825894,6.32905533579168,"Medium"
"37","Father_Edu",4,14231.2674182104,16.1932528647508,"High"
