"","var","cat","value","value2","class"
"1","Sex",1,3442.90105246344,1.54391670132203,"Female"
"2","Sex",3,3241.34101394143,-4.40083612488795,"Male"
"3","Ethnicity",1,3229.63084673109,-4.7462123717352,"[1] Islam"
"4","Ethnicity",2,3656.08838213551,7.83160145209624,"[2] Protestant"
"5","Ethnicity",3,4101.39351977069,20.9653009437918,"[3] Catholic"
"6","Ethnicity",4,4473.71168600551,31.9463440473938,"[4] Hinduism"
"7","Ethnicity",5,7471.13033847855,120.351333132959,"[5] Buddhism"
"8","Ethnicity",7,6849.25027195648,102.009784331274,"[7] Konghucu"
"9","Birth_Area",1,3166.78211242781,-6.59985456000219,"1:Village"
"10","Birth_Area",3,3587.32388274796,5.80348141860836,"3:Small Town"
"11","Birth_Area",5,3981.34276823801,17.4245591891477,"5:Big City"
"12","Birth_Area",8,2668.7866419602,-21.2875873179961,"8:Don't Know"
"13","Father_Occ",1,3302.69554476923,-2.59126353691934,"[1] Working/trying to get work/helping to earn income"
"14","Father_Occ",2,3088.88200232238,-8.89741762412518,"[2] Job searching"
"15","Father_Occ",4,2379.36947521247,-29.8235725886552,"[4] Housekeeping"
"16","Father_Occ",5,3952.13703459064,16.5631738227086,"[5] Retired"
"17","Father_Occ",6,3244.90763517529,-4.29564324134091,"[6] Stay at home/unemployed"
"18","Father_Occ",7,2897.06883640624,-14.5546990403508,"[7] Sick/disabled"
"19","Father_Occ",95,4850.33707294971,43.0544230588718,"[95] Other"
"20","Father_Occ",98,3015.0656741728,-11.0745348176195,"[98] Don't Know'"
"21","Mother_Occ",1,3026.41420762941,-10.7398244909387,"[1] Working/trying to get work/helping to earn income"
"22","Mother_Occ",4,3494.41674146705,3.06330536607939,"[4] Housekeeping"
"23","Mother_Occ",5,3915.57800388263,15.4849124633708,"[5] Retired"
"24","Mother_Occ",6,3830.35487228428,12.9713663450886,"[6] Stay at home/unemployed"
"25","Mother_Occ",7,3563.32118461431,5.09555285988694,"[7] Sick/disabled"
"26","Mother_Occ",95,1148.17733250701,-66.1359935607165,"[95] Other"
"27","Mother_Occ",98,3130.93886854183,-7.65700471215634,"[98] Don't Know'"
"28","Mother_Edu",0,3179.61481762969,-6.22137050593986,"[0] No School"
"29","Mother_Edu",2,3189.49657740383,-5.92992077326451,"[2] Elementary"
"30","Mother_Edu",3,3333.43007568689,-1.68478827091532,"[3] Jr High - General"
"31","Mother_Edu",4,5011.75274450495,47.815169666726,"[4] Jr High - Vocational"
"32","Mother_Edu",5,3845.50648363899,13.4182435390156,"[5] Sr High - General"
"33","Mother_Edu",6,4160.77963390202,22.7168176254149,"[6] Sr High - Vocational"
"34","Mother_Edu",11,1434.26327934041,-57.6982583159338,"[11] Adult Education (A)"
"35","Mother_Edu",12,2636.92955639685,-22.227170882408,"[12] Adult Education (B)"
"36","Mother_Edu",13,1336.81678899253,-60.5723166022275,"[13] Open University"
"37","Mother_Edu",14,2378.6372669364,-29.8451681254017,"[14] Islamic School (pesantren)"
"38","Mother_Edu",15,2784.52674502843,-17.8739825684337,"[15] Adult Education (C)"
"39","Mother_Edu",60,5923.49790806185,74.705914863952,"[60] College D1-D3"
"40","Mother_Edu",61,4483.97197531276,32.2489580194106,"[61] University S1"
"41","Mother_Edu",62,5666.20695011033,67.117450599625,"[62] University S2"
"42","Mother_Edu",72,2902.3622859811,-14.398575586757,"[72] Islamic Elementary School"
"43","Mother_Edu",73,2820.12699503443,-16.8239992067075,"[73] Madrasah Tsanawiyah"
"44","Mother_Edu",74,4644.0079226775,36.9690114455161,"[74] Madrasah Aliyah"
"45","Father_Edu",0,3347.46457146751,-1.27085895700937,"[0] No School"
"46","Father_Edu",2,3069.2228747742,-9.47723818235592,"[2] Elementary"
"47","Father_Edu",3,3340.41112267247,-1.47889131285874,"[3] Jr High - General"
"48","Father_Edu",4,2114.68191347958,-37.6301901216362,"[4] Jr High - Vocational"
"49","Father_Edu",5,3368.62802781541,-0.646670165128384,"[5] Sr High - General"
"50","Father_Edu",6,3931.33702950449,15.9497045560437,"[6] Sr High - Vocational"
"51","Father_Edu",11,2895.61822909567,-14.5974828281119,"[11] Adult Education (A)"
"52","Father_Edu",12,2118.93298463862,-37.5048102721759,"[12] Adult Education (B)"
"53","Father_Edu",14,3834.04285097877,13.0801385100865,"[14] Islamic School (pesantren)"
"54","Father_Edu",15,3462.79011830633,2.13051899236763,"[15] Adult Education (C)"
"55","Father_Edu",60,4268.84462509789,25.9040548701421,"[60] College D1-D3"
"56","Father_Edu",61,5883.27785532342,73.5196763915823,"[61] University S1"
"57","Father_Edu",62,4129.72717780868,21.8009655672622,"[62] University S2"
"58","Father_Edu",63,12304.3162919701,262.899906090692,"[63] University S3"
"59","Father_Edu",72,2441.8172346169,-27.9817566367821,"[72] Islamic Elementary School"
"60","Father_Edu",73,2937.55643167377,-13.3605697468757,"[73] Madrasah Tsanawiyah"
"61","Father_Edu",74,2689.28183862231,-20.683107981843,"[74] Madrasah Aliyah"
