"","var","cat","value","value2","class"
"1","Sex",1,29634.8235172989,3.17963910980173,"Male"
"2","Sex",2,28144.2295682295,-2.01016556828122,"Female"
"3","Birth_Area",1,29876.1175328324,4.01975308677774,"Local"
"4","Birth_Area",2,25523.8808708596,-11.1334401772439,"European Union"
"5","Birth_Area",3,25174.9556472098,-12.3482940005333,"Other"
"6","Father_Occ",0,26558.2272734158,-7.53215372220662,"Dead/unknown/not working"
"7","Father_Occ",1,31921.3248645872,11.1405565655631,"Manager"
"8","Father_Occ",2,33540.2788304455,16.7772726349245,"Professional"
"9","Father_Occ",3,29250.9097496593,1.84296558545235,"Technician"
"10","Father_Occ",4,30420.7121198083,5.91586942141757,"Clerical"
"11","Father_Occ",5,28456.9123926724,-0.921496996895229,"Service"
"12","Father_Occ",6,29095.6951173409,1.30255441216393,"Agriculture"
"13","Father_Occ",7,28013.4356012109,-2.46555125015784,"Craft/Trades"
"14","Father_Occ",8,27838.6578658834,-3.07407532808894,"Plant Operator"
"15","Father_Occ",9,25325.2753594521,-11.8249254827084,"Elementary"
"16","Father_Occ",10,26617.7000990841,-7.32508703643019,"Armed forces"
"17","Mother_Occ",0,28092.0101235821,-2.19197813922793,"Dead/unknown/not working"
"18","Mother_Occ",1,30616.5517528566,6.59772476128559,"Manager"
"19","Mother_Occ",2,33698.0406101581,17.3265522176614,"Professional"
"20","Mother_Occ",3,31145.4027278753,8.43902652282445,"Technician"
"21","Mother_Occ",4,31307.0640648431,9.00188320380363,"Clerical"
"22","Mother_Occ",5,29074.1667219964,1.22759894428464,"Service"
"23","Mother_Occ",6,30570.6342190467,6.43785356905306,"Agriculture"
"24","Mother_Occ",7,30164.101316043,5.02242694457179,"Craft/Trades"
"25","Mother_Occ",8,29381.4823645956,2.29758058523069,"Plant Operator"
"26","Mother_Occ",9,28296.1729802913,-1.48114381073658,"Elementary"
"27","Mother_Edu",0,31318.466925696,9.04158457293548,"Unknown"
"28","Mother_Edu",1,27455.0503884679,-4.40968244099963,"None"
"29","Mother_Edu",2,28091.0510171171,-2.19531746260424,"Low"
"30","Mother_Edu",3,29115.4945039736,1.37148998608995,"Medium"
"31","Mother_Edu",4,30829.1608878245,7.33796651790117,"High"
"32","Father_Edu",0,28309.5028263258,-1.43473325248149,"Unknown"
"33","Father_Edu",1,26266.9270132289,-8.5463745661785,"None"
"34","Father_Edu",2,27946.8653173697,-2.6973291737944,"Low"
"35","Father_Edu",3,30082.533725197,4.73843285965245,"Medium"
"36","Father_Edu",4,29814.7465019181,3.80607741505169,"High"
