"","var","cat","value","value2","class"
"1","Sex",1,29147.5761124857,2.89105951978179,"Male"
"2","Sex",2,27716.0654909752,-2.16217866347638,"Female"
"3","Birth_Area",1,28504.4900974885,0.620963330992112,"Local"
"4","Birth_Area",2,28050.2462942369,-0.982519099810759,"European Union"
"5","Birth_Area",3,27229.0066024929,-3.88149847556198,"Other"
"6","Father_Occ",0,27806.3301987469,-1.84354388629876,"Dead/unknown/not working"
"7","Father_Occ",1,29559.1199651447,4.34381095528776,"Manager"
"8","Father_Occ",2,31780.3419356711,12.1847333391624,"Professional"
"9","Father_Occ",3,28292.191283079,-0.128452327623762,"Technician"
"10","Father_Occ",4,28962.2371217063,2.23681214572842,"Clerical"
"11","Father_Occ",5,28936.2717994385,2.14515445492778,"Service"
"12","Father_Occ",6,27144.7116886452,-4.17905985646213,"Agriculture"
"13","Father_Occ",7,28492.7534033412,0.579532754006252,"Craft/Trades"
"14","Father_Occ",8,27328.7012360155,-3.52957602300577,"Plant Operator"
"15","Father_Occ",9,28653.2316657773,1.14602165820261,"Elementary"
"16","Father_Occ",10,31867.9561824311,12.4940119784353,"Armed forces"
"17","Mother_Occ",0,26894.7564087015,-5.06140298807333,"Dead/unknown/not working"
"18","Mother_Occ",1,31140.8931721253,9.92747666245202,"Manager"
"19","Mother_Occ",2,30710.9736657965,8.40985909646014,"Professional"
"20","Mother_Occ",3,30386.345303533,7.26391968748287,"Technician"
"21","Mother_Occ",4,31050.2953297145,9.60766591867424,"Clerical"
"22","Mother_Occ",5,28233.8441157491,-0.334418060190359,"Service"
"23","Mother_Occ",6,27854.4284615629,-1.67375682739879,"Agriculture"
"24","Mother_Occ",7,27984.8725425771,-1.21328870298812,"Craft/Trades"
"25","Mother_Occ",8,29675.226243702,4.75366658004235,"Plant Operator"
"26","Mother_Occ",9,26677.3283348586,-5.82892495287444,"Elementary"
"27","Mother_Edu",0,27884.7491153274,-1.56672479910529,"Unknown"
"28","Mother_Edu",1,26832.5232835008,-5.28108616736813,"Basic"
"29","Mother_Edu",2,28631.2598559448,1.06846108217027,"Primary"
"30","Mother_Edu",3,27913.0758288862,-1.46673138766212,"Lower Secondary"
"31","Mother_Edu",4,27925.8835341041,-1.42152013734074,"Upper Secondary"
"32","Mother_Edu",5,32127.3034650825,13.4095089169318,"Post Secondary"
"33","Mother_Edu",6,27286.7900314366,-3.67752274173911,"Tertiary"
"34","Father_Edu",0,28697.0581756804,1.30072941234248,"Unknown"
"35","Father_Edu",1,27639.1572031796,-2.43366522505525,"Basic"
"36","Father_Edu",2,27266.47438999,-3.74923703678702,"Primary"
"37","Father_Edu",3,29300.237694421,3.42995551074434,"Lower Secondary"
"38","Father_Edu",4,28012.5526802403,-1.11557770702635,"Upper Secondary"
"39","Father_Edu",5,29502.6762658898,4.14456447259107,"Post Secondary"
"40","Father_Edu",6,29043.4739265079,2.5235783895417,"Tertiary"
