"","var","cat","value","value2","class"
"1","Sex",1,30790.8299041045,1.82393942175042,"Male"
"2","Sex",2,29716.3448404771,-1.72933609466516,"Female"
"3","Birth_Area",1,31106.6215760629,2.86824878838748,"Local"
"4","Birth_Area",2,25336.2234727968,-16.2142075382613,"European Union"
"5","Birth_Area",3,24806.2450197686,-17.9668233028915,"Other"
"6","Father_Occ",0,27970.6589806703,-7.50224354119955,"Dead/unknown/not working"
"7","Father_Occ",1,33331.3013558961,10.2251683595722,"Manager"
"8","Father_Occ",2,31948.3972469786,5.65196443323912,"Professional"
"9","Father_Occ",3,32745.6025598431,8.2882878365584,"Technician"
"10","Father_Occ",4,32579.6977131055,7.73964770192759,"Clerical"
"11","Father_Occ",5,29658.9197587052,-1.91923835016929,"Service"
"12","Father_Occ",6,29355.0426405525,-2.92414680397852,"Agriculture"
"13","Father_Occ",7,29655.1830889998,-1.93159535486551,"Craft/Trades"
"14","Father_Occ",8,29529.2448315423,-2.34806771167332,"Plant Operator"
"15","Father_Occ",9,28607.2388180609,-5.39710162065221,"Elementary"
"16","Father_Occ",10,30837.8893284577,1.97956289761919,"Armed forces"
"17","Mother_Occ",0,29374.2048007148,-2.86077837118088,"Dead/unknown/not working"
"18","Mother_Occ",1,33874.2680737184,12.0207357527134,"Manager"
"19","Mother_Occ",2,33206.1236819721,9.8112112195314,"Professional"
"20","Mother_Occ",3,34186.3065399426,13.0526334307243,"Technician"
"21","Mother_Occ",4,33194.7701723426,9.77366565546758,"Clerical"
"22","Mother_Occ",5,31038.936739316,2.64441796803756,"Service"
"23","Mother_Occ",6,30119.0356081224,-0.397655186481842,"Agriculture"
"24","Mother_Occ",7,31620.1337636819,4.56641132727634,"Craft/Trades"
"25","Mother_Occ",8,31603.3577730151,4.51093385353754,"Plant Operator"
"26","Mother_Occ",9,29111.7045663023,-3.72885526453716,"Elementary"
"27","Mother_Occ",10,32115.3040102816,6.20391786250941,"Armed forces"
"28","Mother_Edu",0,30903.7819145317,2.19746682270478,"Unknown"
"29","Mother_Edu",1,29622.5559505267,-2.03949188710354,"Low"
"30","Mother_Edu",2,31817.5202265203,5.21915980132947,"Medium"
"31","Mother_Edu",3,34338.8033792766,13.5569338662342,"High"
"32","Father_Edu",0,29751.9977685953,-1.61143340726689,"Unknown"
"33","Father_Edu",1,29529.7939305069,-2.34625186520587,"Low"
"34","Father_Edu",2,32461.3237221947,7.34819004660763,"Medium"
"35","Father_Edu",3,35298.715609385,16.7313219900088,"High"
