"","var","cat","value","value2","class"
"1","Sex",0,5506.07993314804,10.0572067546711,"Male"
"2","Sex",1,4742.475531727,-5.20595115555615,"Female"
"3","Ethnicity",-99,5044.90738491887,0.8391490609432,""
"4","Ethnicity",-95,5015.34412675856,0.248229630932173,""
"5","Ethnicity",1,5906.15319036099,18.0539931654573,"Atheistic/agnostic/none"
"6","Ethnicity",2,5084.60681907225,1.63267347136053,"Buddhist"
"7","Ethnicity",3,4971.21380971957,-0.633860619387164,"Jewish"
"8","Ethnicity",4,5070.25775062908,1.34585991043129,"Orthodox Christian"
"9","Ethnicity",5,5312.69876745138,6.1918449738864,"Catholic"
"10","Ethnicity",6,5146.2830352741,2.86547651105256,"Other Christian, including protestant"
"11","Ethnicity",7,4958.35904795235,-0.890805522253515,"Muslim"
"12","Ethnicity",8,5402.07773462908,7.97837905795846,"Other"
"13","Father_Occ",-99,5066.23724156754,1.26549674781523,""
"14","Father_Occ",-97,4780.9495272581,-4.43692118645724,""
"15","Father_Occ",1,4943.62203942044,-1.18537334811778,"Agriculture, Forestry, and Fishing"
"16","Father_Occ",2,5228.6711903415,4.51227610831243,"Mining"
"17","Father_Occ",3,4916.89746372326,-1.71955232638298,"Construction"
"18","Father_Occ",4,5058.32235056481,1.10729148997223,"Manufacturing"
"19","Father_Occ",5,5046.71663830113,0.875312969927492,"Transportation and public utilities"
"20","Father_Occ",6,5346.45157652204,6.86650642659728,"Wholesale trade"
"21","Father_Occ",7,5532.60122095419,10.587322352505,"Retail trade"
"22","Father_Occ",8,5361.2794340918,7.16289017076693,"Finance, insurance and real estate"
"23","Father_Occ",9,5119.00105202299,2.32015590041853,"Services"
"24","Father_Occ",10,5260.26396708379,5.14376217536868,"Public sector (eg education, administration, health care)"
"25","Father_Occ",11,4872.76123626496,-2.60176071596794,"Non-classifiable establishments"
"26","Father_Occ",12,5080.7476058791,1.55553433980678,"Never worked"
"27","Mother_Occ",-99,5136.50114544581,2.6699531106744,""
"28","Mother_Occ",-97,5069.71360381545,1.33498333778805,""
"29","Mother_Occ",1,5017.59981118163,0.293316939859182,"Agriculture, Forestry, and Fishing"
"30","Mother_Occ",2,4995.12796348377,-0.155857212763067,"Mining"
"31","Mother_Occ",3,5104.58186889394,2.03194086574142,"Construction"
"32","Mother_Occ",4,5182.25125382021,3.58442024474149,"Manufacturing"
"33","Mother_Occ",5,5272.7204157383,5.39274547413001,"Transportation and public utilities"
"34","Mother_Occ",6,5799.48006986314,15.9217782647765,"Wholesale trade"
"35","Mother_Occ",7,5084.84721635604,1.63747860566419,"Retail trade"
"36","Mother_Occ",8,5037.25752414884,0.686241308307146,"Finance, insurance and real estate"
"37","Mother_Occ",9,4890.12531851698,-2.25468213851944,"Services"
"38","Mother_Occ",10,4917.84528295975,-1.70060702610699,"Public sector (eg education, administration, health care)"
"39","Mother_Occ",11,4985.45911258988,-0.349121156408913,"Non-classifiable establishments"
"40","Mother_Occ",12,5095.1531152482,1.84347605919518,"Never worked"
"41","Mother_Edu",-99,5275.18695079887,5.44204732997383,""
"42","Mother_Edu",-97,4904.32235537183,-1.97090743139405, ""







