"","var","cat","value","value2","class"
"1","Sex",1,43215.5718067308,1.47795921779854,"Male"
"2","Sex",2,42143.2121812899,-1.04013464947639,"Female"
"3","Birth_Area",1,45355.3918635477,6.50264276080968,"Local"
"4","Birth_Area",2,41138.2298695932,-3.40001442839167,"European Union"
"5","Birth_Area",3,33635.7641129144,-21.0171575612891,"Other"
"6","Father_Occ",0,43102.3340095733,1.21205644059459,"Dead/unknown/not working"
"7","Father_Occ",1,48082.756731865,12.906987521465,"Manager"
"8","Father_Occ",2,49708.7519126682,16.7251175553289,"Professional"
"9","Father_Occ",3,45675.107669091,7.25339315285134,"Technician"
"10","Father_Occ",4,44833.594450725,5.27736829689215,"Clerical"
"11","Father_Occ",5,41109.3966945753,-3.46771992518956,"Service"
"12","Father_Occ",6,44264.246832984,3.94043737319043,"Agriculture"
"13","Father_Occ",7,39727.7596729326,-6.7120529161562,"Craft/Trades"
"14","Father_Occ",8,41118.2734303886,-3.44687574802876,"Plant Operator"
"15","Father_Occ",9,39829.1179276307,-6.47404544786127,"Elementary"
"16","Father_Occ",10,46427.9291984056,9.02115392185648,"Armed forces"
"17","Mother_Occ",0,40643.8224236939,-4.56097230848921,"Dead/unknown/not working"
"18","Mother_Occ",1,44511.7978879584,4.5217319114963,"Manager"
"19","Mother_Occ",2,49501.9384707041,16.2394822819329,"Professional"
"20","Mother_Occ",3,46791.4231425418,9.87470328142379,"Technician"
"21","Mother_Occ",4,45659.7706772273,7.21737912897517,"Clerical"
"22","Mother_Occ",5,42306.14065449,-0.657549200121124,"Service"
"23","Mother_Occ",6,44900.1494764402,5.43365150460893,"Agriculture"
"24","Mother_Occ",7,41811.0241784846,-1.82017201082547,"Craft/Trades"
"25","Mother_Occ",8,41659.8249196987,-2.17521514864289,"Plant Operator"
"26","Mother_Occ",9,42453.400294168,-0.311756998724263,"Elementary"
"27","Mother_Occ",10,44906.4091998534,5.44835046451337,"Armed forces"
"28","Mother_Edu",0,42436.6558797156,-0.35107590475495,"Unknown"
"29","Mother_Edu",1,41885.1642458124,-1.64607775696851,"Basic"
"30","Mother_Edu",2,41020.3063108435,-3.67692021918251,"Primary"
"31","Mother_Edu",3,47081.917890741,10.5568373589869,"Lower Secondary"
"32","Mother_Edu",4,46175.6370181288,8.42872636598385,"Upper Secondary"
"33","Mother_Edu",5,46876.4322843784,10.074320083141,"Post Secondary"
"34","Mother_Edu",6,46105.6918064596,8.26448239001637,"Tertiary"
"35","Father_Edu",0,41318.0807022562,-2.97769222601778,"Unknown"
"36","Father_Edu",1,39443.6494343137,-7.37919501338135,"Basic"
"37","Father_Edu",2,40547.4678648111,-4.78723019628211,"Primary"
"38","Father_Edu",3,48599.8315055062,14.1211723765625,"Lower Secondary"
"39","Father_Edu",4,45714.2729484349,7.34536029464434,"Upper Secondary"
"40","Father_Edu",5,48554.3735987864,14.0144290104244,"Post Secondary"
"41","Father_Edu",6,47382.9980589827,11.2638279125485,"Tertiary"
