"","var","cat","value","value2","class"
"1","Sex",1,9015.58831541158,3.2582147598967,"Male"
"2","Sex",2,8550.83037907213,-2.06479613223435,"Female"
"3","Birth_Area",1,8694.96097643293,-0.414025527468283,"Local"
"4","Birth_Area",3,9206.42123251456,5.4438809247761,"Other"
"5","Father_Occ",0,8553.61775069003,-2.03287153596095,"Dead/unknown/not working"
"6","Father_Occ",1,9894.17730640793,13.3209558195012,"Manager"
"7","Father_Occ",2,10390.9438604915,19.0105709319628,"Professional"
"8","Father_Occ",3,10210.5312147367,16.9442512344548,"Technician"
"9","Father_Occ",4,9583.58086803363,9.76360242055675,"Clerical"
"10","Father_Occ",5,8443.05749304939,-3.29915105405422,"Service"
"11","Father_Occ",6,7933.77091451765,-9.13216173073599,"Agriculture"
"12","Father_Occ",7,8456.15559360706,-3.14913461219665,"Craft/Trades"
"13","Father_Occ",8,8731.0598431231,-0.000574469270574696,"Plant Operator"
"14","Father_Occ",9,8821.32988518495,1.03331517425654,"Elementary"
"15","Father_Occ",10,9474.16469840921,8.51042648283453,"Armed forces"
"16","Mother_Occ",0,9230.96706230732,5.725011614813,"Dead/unknown/not working"
"17","Mother_Occ",1,9799.99825903795,12.2422951754045,"Manager"
"18","Mother_Occ",2,9806.84566888855,12.320720597259,"Professional"
"19","Mother_Occ",3,9567.19714921558,9.57595481542067,"Technician"
"20","Mother_Occ",4,9188.64392212904,5.24027210087897,"Clerical"
"21","Mother_Occ",5,8572.06882694356,-1.82154587115862,"Service"
"22","Mother_Occ",6,8252.43489037813,-5.48240842518683,"Agriculture"
"23","Mother_Occ",7,9014.43939508277,3.24505583361216,"Craft/Trades"
"24","Mother_Occ",8,8716.38435021797,-0.168657254895862,"Plant Operator"
"25","Mother_Occ",9,8336.98374851365,-4.5140452029956,"Elementary"
"26","Mother_Edu",0,8754.05150599696,0.262755884740585,"Unknown"
"27","Mother_Edu",1,7724.43517327696,-11.5297462443282,"Basic"
"28","Mother_Edu",2,7993.41613738073,-8.44902725117355,"Primary"
"29","Mother_Edu",3,8883.98336466325,1.75090411167125,"Lower Secondary"
"30","Mother_Edu",4,9040.17107946143,3.53976846896657,"Upper Secondary"
"31","Mother_Edu",5,11333.4944615003,29.8058833371066,"Post Secondary"
"32","Mother_Edu",6,9598.47766850476,9.93421990756576,"Tertiary"
"33","Father_Edu",0,8675.82051291382,-0.633246949688996,"Unknown"
"34","Father_Edu",1,7990.4805309335,-8.48264962504132,"Basic"
"35","Father_Edu",2,8282.58410175199,-5.13710053911554,"Primary"
"36","Father_Edu",3,8453.40258278306,-3.18066566407657,"Lower Secondary"
"37","Father_Edu",4,9449.42278403399,8.22704997774719,"Upper Secondary"
"38","Father_Edu",5,9870.96136989678,13.0550567928095,"Post Secondary"
"39","Father_Edu",6,10281.2372657561,17.7540686690537,"Tertiary"
