"","var","cat","value","value2","class"
"1","Sex",0,7644.05133715965,1.50569164684677,"Male"
"2","Sex",1,7465.21635918374,-0.869065838342735,"Female"
"3","Ethnicity",-99,7995.32425361015,6.17026005022466,""
"4","Ethnicity",-95,7666.48778329944,1.80362619530354,""
"5","Ethnicity",1,7987.38163062112,6.06478961256906,"Atheistic/agnostic/none"
"6","Ethnicity",3,7928.80767745261,5.28698352956218,"Jewish"
"7","Ethnicity",4,7800.28994306062,3.58039092010031,"Orthodox Christian"
"8","Ethnicity",5,7852.67211306953,4.27597604403434,"Catholic"
"9","Ethnicity",6,7861.83467608748,4.39764611862871,"Other Christian, including protestant"
"10","Ethnicity",7,6370.75669363923,-15.4024435500566,"Muslim"
"11","Ethnicity",8,8057.00478503921,6.98931852166845,"Other"
"12","Father_Occ",-99,7984.15579827524,6.02195364392327,""
"13","Father_Occ",-97,7491.36720494678,-0.521807615020421,""
"14","Father_Occ",1,7278.44726517509,-3.34918079694374,"Agriculture, Forestry, and Fishing"
"15","Father_Occ",2,7007.94042260514,-6.94125297688673,"Mining"
"16","Father_Occ",3,7680.00381517238,1.98310617301036,"Construction"
"17","Father_Occ",4,7216.99320999762,-4.16523188034876,"Manufacturing"
"18","Father_Occ",5,7119.74069442659,-5.4566522832239,"Transportation and public utilities"
"19","Father_Occ",6,7575.28499866956,0.592540433886626,"Wholesale trade"
"20","Father_Occ",7,8134.99281555303,8.02492498587381,"Retail trade"
"21","Father_Occ",8,8791.45461082286,16.7421098436818,"Finance, insurance and real estate"
"22","Father_Occ",9,7793.55075725055,3.49090097731793,"Services"
"23","Father_Occ",10,7781.62446789661,3.33253125997089,"Public sector (eg education, administration, health care)"
"24","Father_Occ",11,7673.66751001556,1.89896610002288,"Non-classifiable establishments"
"25","Father_Occ",12,7298.34220598991,-3.08499500872632,"Never worked"
"26","Mother_Occ",-99,7844.15810314505,4.16291813430114,""
"27","Mother_Occ",-97,7307.22955757552,-2.96697947876503,""
"28","Mother_Occ",1,7787.70430756398,3.41326571651989,"Agriculture, Forestry, and Fishing"
"29","Mother_Occ",2,7495.34447467387,-0.468993276561918,"Mining"
"30","Mother_Occ",3,7921.09687045071,5.184591386527,"Construction"
"31","Mother_Occ",4,7200.12745879786,-4.38919292733345,"Manufacturing"
"32","Mother_Occ",5,8080.11449463446,7.2961933649626,"Transportation and public utilities"
"33","Mother_Occ",6,8017.59473679814,6.46599076939415,"Wholesale trade"
"34","Mother_Occ",7,8062.17084141862,7.05791881001677,"Retail trade"
"35","Mother_Occ",8,8194.38879734069,8.8136468228259,"Finance, insurance and real estate"
"36","Mother_Occ",9,7676.03170991143,1.93036041372349,"Services"
"37","Mother_Occ",10,7924.73990530034,5.2329674054461,"Public sector (eg education, administration, health care)"
"38","Mother_Occ",11,7349.95672235445,-2.39960359107182,"Non-classifiable establishments"
"39","Mother_Occ",12,6994.49811396274,-7.11975398059451,"Never worked"
"40","Mother_Edu",-99,7954.49145022492,5.62803947023603,""
"41","Mother_Edu",-97,7521.79074609032,-0.117812083081787,""
"42","Mother_Edu",1,7893.44971725155,4.8174636313921,"No degree / No education"
"43","Mother_Edu",2,7226.1268740818,-4.04394555595842,"Primary education"
"44","Mother_Edu",3,6990.8638532312,-7.16801348761621,"Lower secondary education"
"45","Mother_Edu",4,7814.20321352365,3.76514584639882,"(Upper) secondary education"
"46","Mother_Edu",5,8645.5727335479,14.8049380223009,"Post-secondary non-tertiary education"
"47","Mother_Edu",6,7958.90210506751,5.68660874857623,"Tertiary education (not a university diploma)"
"48","Mother_Edu",7,8883.66807668482,17.9666164853325,"Bachelor's degree or more"
"49","Mother_Edu",8,8449.65749661013,12.2033710321825,"Master's degree or PhD"
"50","Father_Edu",-99,7683.42042574076,2.0284754940072,""
"51","Father_Edu",-97,7375.01287152944,-2.06688189156543,""
"52","Father_Edu",1,7107.3953059583,-5.62058723601925,"No degree / No education"
"53","Father_Edu",2,7246.19130108575,-3.77750915323142,"Primary education"
"54","Father_Edu",3,7462.07047456052,-0.910840177686765,"Lower secondary education"
"55","Father_Edu",4,7533.87894092414,0.0427075842055729,"(Upper) secondary education"
"56","Father_Edu",5,8126.62958878384,7.91386933224696,"Post-secondary non-tertiary education"
"57","Father_Edu",6,8078.19938371631,7.27076252341629,"Tertiary education (not a university diploma)"
"58","Father_Edu",7,8535.78286207893,13.3470335227457,"Bachelor's degree or more"
"59","Father_Edu",8,8213.75661837409,9.07083296443774,"Master's degree or PhD"
"60","Birth_Area",0,7365.32003818935,-2.19559344893295,"Rural"
"61","Birth_Area",1,7878.45031022365,4.61828585019929,"Urban"
