"","var","cat","value","value2","class"
"1","Sex",0,4000.66110972176,-0.725504985184003,"Female"
"2","Sex",1,4068.43539288402,0.956281487450269,"Male"
"3","Ethnicity",1,4159.01698601105,3.2040204657585,"None"
"4","Ethnicity",2,4107.29371367503,1.92053216198944,"Traditional"
"5","Ethnicity",3,3415.97965506858,-15.234096081334,"Christianity"
"6","Ethnicity",4,3986.99356091896,-1.06465868210444,"Islam"
"7","Ethnicity",5,3450.58678303255,-14.3753367267394,"Other"
"24","Mother_Edu",1,3967.53687404716,-1.54746707573882,"None"
"25","Mother_Edu",2,4450.11474461854,10.42747233862,"Primary School Leaving Certificate"
"26","Mother_Edu",3,4663.03656313694,15.7110255892777,"Junior Certificate of Education"
"27","Mother_Edu",4,4756.15484690397,18.0217113344798,"Malawi School Certificate of Education"
"28","Mother_Edu",5,4532.77682877875,12.4786924836945,"A-Level"
"29","Father_Edu",1,3922.22190778469,-2.67193632443077,"None"
"30","Father_Edu",2,4230.86189416149,4.98681755364207,"Primary School Leaving Certificate"
"31","Father_Edu",3,4680.04212666903,16.133010527714,"Junior Certificate of Education"
"32","Father_Edu",4,4868.27131560867,20.8038279667675,"Malawi School Certificate of Education"
"33","Father_Edu",5,5306.46989546392,31.6775164743064,"A-Level"
