"","var","cat","value","value2","class"
"1","Sex",0,2362.51162053271,-1.85061375167516,"Female"
"2","Sex",1,2441.24226647896,1.42021230962331,"Male"
"3","Ethnicity",1,2424.01976204299,0.704711812034702,"CATHOLIC"
"4","Ethnicity",2,2441.31705751783,1.42331946664125,"ISLAM"
"5","Ethnicity",3,2314.66613143474,-3.83833112368863,"TRADITIONAL"
"6","Mother_Edu",1,2432.97080791642,1.07657862154487,"No school"
"7","Mother_Edu",2,2551.08985789369,5.98377660471925,"Nursery and pre"
"8","Mother_Edu",3,2746.72056616924,14.1111584053814,"Primary"
"9","Mother_Edu",4,2690.28050006442,11.7663835480395,"Post Primary"
"10","Mother_Edu",5,2886.4110979744,19.9145330183229,"Secondary"
"11","Mother_Edu",8,2686.88695153746,11.6254002393312,"Teacher Training"
"12","Mother_Edu",9,2821.68090061081,17.2253487248985,"National Certificate"
"13","Mother_Edu",12,2736.54328092881,13.6883480829511,"Vocational/Technical/Commercial"
"14","Mother_Edu",13,2709.1070036355,12.5485214027888,"Univerity Level"
"15","Mother_Edu",14,2452.06252471973,1.86973462991588,"Quaranic"
"16","Father_Edu",1,2309.35170863626,-4.05911621164395,"No school"
"17","Father_Edu",2,2741.10305212806,13.8777815404418,"Nursery and pre"
"18","Father_Edu",3,2838.08379472886,17.9067989139221,"Primary"
"19","Father_Edu",4,3412.66723885823,41.7775862148666,"Post Primary"
"20","Father_Edu",5,2934.73492773806,21.9221228186227,"Secondary"
"21","Father_Edu",8,3136.74622274602,30.314582964825,"Teacher Training"
"22","Father_Edu",9,2872.27438278788,19.3272301212428,"National Certificate"
"23","Father_Edu",12,2879.74972950943,19.6377897334522,"Vocational/Technical/Commercial"
"24","Father_Edu",13,3343.15936811302,38.8899158246863,"Univerity Level"
"25","Father_Edu",14,2365.39362267049,-1.73088238674512,"Quaranic"
"26","Birth_Area",1,2723.36336403774,13.140794901659," North Central"
"27","Birth_Area",2,2082.69064594299,-13.4756388633808,"North East"
"28","Birth_Area",3,2371.62917092911,-1.47182959344376,"North West"
"29","Birth_Area",4,2204.12485775136,-8.4307141083213,"South East"
"30","Birth_Area",5,3128.63888967795,29.9777677898961,"South South"
"31","Birth_Area",6,3160.07029100335,31.2835699380001,"South West"
