"","var","cat","value","value2","class"
"1","Sex",1,32443.2455130335,3.27970152137027,"Male"
"2","Sex",2,30492.5369297377,-2.93017659199631,"Female"
"3","Birth_Area",1,31538.2412048663,0.398714328349982,"Local"
"4","Birth_Area",2,31750.6599982339,1.07492748858157,"European Union"
"5","Birth_Area",3,28802.8226688623,-8.30920639496416,"Other"
"6","Father_Occ",0,29969.7503725598,-4.59441328382262,"Dead/unknown/not working"
"7","Father_Occ",1,31940.5085112747,1.6792905062474,"Manager"
"8","Father_Occ",2,34463.562891014,9.7111720008708,"Professional"
"9","Father_Occ",3,33241.064720934,5.81947608328554,"Technician"
"10","Father_Occ",4,34445.2682037821,9.65293276472589,"Clerical"
"11","Father_Occ",5,29986.9013601493,-4.5398148966691,"Service"
"12","Father_Occ",6,30828.2667503813,-1.86141558736868,"Agriculture"
"13","Father_Occ",7,30534.3551536799,-2.79705262062411,"Craft/Trades"
"14","Father_Occ",8,30939.3288792207,-1.50786083859199,"Plant Operator"
"15","Father_Occ",9,30546.8626627716,-2.75723626485123,"Elementary"
"16","Father_Occ",10,31730.888108035,1.0119857302596,"Armed forces"
"17","Mother_Occ",0,30638.4167378571,-2.46578337848408,"Dead/unknown/not working"
"18","Mother_Occ",1,36356.9761441332,15.7386563831037,"Manager"
"19","Mother_Occ",2,33321.0343024214,6.0740509378109,"Professional"
"20","Mother_Occ",3,37000.1791526498,17.786226337551,"Technician"
"21","Mother_Occ",4,36382.0064940258,15.8183379015524,"Clerical"
"22","Mother_Occ",5,33170.0439003749,5.5933886794778,"Service"
"23","Mother_Occ",6,31082.0097764821,-1.05365102545706,"Agriculture"
"24","Mother_Occ",7,31651.880851919,0.760474338577168,"Craft/Trades"
"25","Mother_Occ",8,30317.9290536729,-3.48602262521786,"Plant Operator"
"26","Mother_Occ",9,30670.683124463,-2.36306668891949,"Elementary"
"27","Mother_Edu",0,31008.7830240013,-1.28676078436072,"Unknown"
"28","Mother_Edu",1,40477.4219964957,28.8556676758243,"Basic"
"29","Mother_Edu",2,31212.0652036957,-0.639633084543718,"Primary"
"30","Mother_Edu",3,31172.0183039618,-0.767118229323955,"Lower Secondary"
"31","Mother_Edu",4,31677.1368268349,0.840874110847139,"Upper Secondary"
"32","Mother_Edu",5,47222.7672634567,50.3287735508344,"Post Secondary"
"33","Mother_Edu",6,32338.5043974625,2.94626906163539,"Tertiary"
"34","Father_Edu",0,31680.5851456597,0.851851475575515,"Unknown"
"35","Father_Edu",1,35880.9228443873,14.2231901611356,"Basic"
"36","Father_Edu",2,30378.0393029965,-3.29466789142532,"Primary"
"37","Father_Edu",3,31226.9348305616,-0.59229717224035,"Lower Secondary"
"38","Father_Edu",4,31907.135005329,1.57304941728448,"Upper Secondary"
"39","Father_Edu",5,45085.4147473844,43.5247338681456,"Post Secondary"
"40","Father_Edu",6,32095.5594416985,2.17287903481612,"Tertiary"
