"","var","cat","value","value2","class"
"1","Sex",1,46954.8188391446,0.980374629590059,"Male"
"2","Sex",2,46223.175693401,-0.593086854852231,"Female"
"3","Birth_Area",1,47863.4764416613,2.93452092129432,"Local"
"4","Birth_Area",2,42128.095753928,-9.39990831960398,"European Union"
"5","Birth_Area",3,38808.5039088937,-16.5389759683846,"Other"
"6","Father_Occ",0,41514.4843280799,-10.7195324431983,"Dead/unknown/not working"
"7","Father_Occ",1,50337.2646226928,8.25461507671162,"Manager"
"8","Father_Occ",2,48801.7329257838,4.95232215251413,"Professional"
"9","Father_Occ",3,47457.6179618352,2.06168736868639,"Technician"
"10","Father_Occ",4,43490.4809323765,-6.46998186879965,"Clerical"
"11","Father_Occ",5,46654.7373289594,0.335023543863898,"Service"
"12","Father_Occ",6,48655.3090428296,4.63742500412812,"Agriculture"
"13","Father_Occ",7,46133.3568256444,-0.786250051710425,"Craft/Trades"
"14","Father_Occ",8,45813.2900400967,-1.47458119024218,"Plant Operator"
"15","Father_Occ",9,45661.0989268371,-1.80188126321011,"Elementary"
"16","Father_Occ",10,47808.3154273385,2.81589241778873,"Armed forces"
"17","Mother_Occ",0,40989.4361307392,-11.8486937300873,"Dead/unknown/not working"
"18","Mother_Occ",1,58132.8563654348,25.0197053081994,"Manager"
"19","Mother_Occ",2,47221.9401307532,1.5548419316699,"Professional"
"20","Mother_Occ",3,51451.6725541941,10.651245139298,"Technician"
"21","Mother_Occ",4,44099.5400114083,-5.16014795840015,"Clerical"
"22","Mother_Occ",5,43965.4126550263,-5.4486003692577,"Service"
"23","Mother_Occ",6,50607.3446434264,8.83544538013754,"Agriculture"
"24","Mother_Occ",7,49182.8407087942,5.77192720379722,"Craft/Trades"
"25","Mother_Occ",8,42911.2407547704,-7.71568766814596,"Plant Operator"
"26","Mother_Occ",9,41705.8558962382,-10.3079714336185,"Elementary"
"27","Mother_Edu",0,43980.0245234562,-5.41717629001363,"Unknown"
"28","Mother_Edu",1,40724.5035932274,-12.4184539283146,"Low"
"29","Mother_Edu",2,46442.2001566003,-0.122055917161475,"Medium"
"30","Mother_Edu",3,48868.715652149,5.096374264082,"High"
"31","Father_Edu",0,43348.3740783491,-6.77559487534276,"Unknown"
"32","Father_Edu",1,41576.7978799474,-10.5855217927976,"Low"
"33","Father_Edu",2,48439.7591716964,4.17386647538665,"Medium"
"34","Father_Edu",3,46567.5129586579,0.147440036832336,"High"
