"","var","cat","value","value2","class"
"1","Sex",0,49130.6665380421,-15.1228825919891,"Female"
"2","Sex",1,51398.2329973269,-11.2054819508609,"Male"
"3","Ethnicity",1,51004.138678207,-11.8863110979246,"Hindu"
"4","Ethnicity",2,50297.8095680822,-13.1065505742676,"Bouddha"
"5","Ethnicity",3,38750.0595594918,-33.0562032523675,"Islam"
"6","Ethnicity",4,35287.3685211852,-39.0382762531164,"Kirant"
"7","Ethnicity",5,38281.8121982033,-33.8651376524188,"Jain"
"8","Ethnicity",7,51084.6461570356,-11.7472280523595,"Shikh"
"9","Ethnicity",8,38218.081309892,-33.9752378092227,"Bahai"
"10","Ethnicity",9,80205.6717829459,38.5616499918295,"Other religion"
"11","Mother_Edu",1,44310.9916021259,-23.4492527438668,"Class 1"
"12","Mother_Edu",2,61005.8043652846,5.39235847071321,"Class 2"
"13","Mother_Edu",3,66840.6032588396,15.4724356534016,"Class 3"
"14","Mother_Edu",4,51003.5828779344,-11.8872712869128,"Class 4"
"15","Mother_Edu",5,76989.5611959071,33.0055642488879,"Class 5"
"16","Mother_Edu",6,55042.7231420228,-4.90933659602085,"Class 6"
"17","Mother_Edu",7,150887.310524375,160.669778636932,"Class 7"
"18","Mother_Edu",8,103505.566400701,78.8140632078035,"Class 8"
"19","Mother_Edu",9,70007.7669846394,20.9439618171462,"Class 9"
"20","Mother_Edu",10,30893.3129735043,-46.6293552043667,"Class 10"
"21","Mother_Edu",11,98728.5861541979,70.5614515131452,"SLC"
"22","Mother_Edu",12,37746.9294941841,-34.7891898843055,"Intermediate/Class 12"
"23","Mother_Edu",13,157210.651643495,171.593851204986,"Bachelor level"
"24","Mother_Edu",14,-47189.5756285449,-181.523729134773,"Master level or higher"
"25","Mother_Edu",16,69013.4831494365,19.2262577483024,"Literate (levelless)"
"26","Mother_Edu",17,47261.5885982432,-18.3518627569172,"Illiterate"
"27","Mother_Edu",98,46201.0604417394,-20.1840091371088,"DK"
"28","Father_Edu",1,40433.6040574274,-30.1477468018073,"Class 1"
"29","Father_Edu",2,44235.3768211913,-23.5798832663369,"Class 2"
"30","Father_Edu",3,47333.2793284426,-18.2280113428623,"Class 3"
"31","Father_Edu",4,73841.3358334975,27.5667556077469,"Class 4"
"32","Father_Edu",5,64528.695645558,11.4784321570919,"Class 5"
"33","Father_Edu",6,53340.3860445809,-7.85025875053117,"Class 6"
"34","Father_Edu",7,67863.3845032771,17.2393712535857,"Class 7"
"35","Father_Edu",8,72951.3576422909,26.0292477995204,"Class 8"
"36","Father_Edu",9,73506.9466299152,26.9890717761944,"Class 9"
"37","Father_Edu",10,70535.6814217601,21.8559758161051,"Class 10"
"38","Father_Edu",11,77666.2157180171,34.1745385243197,"SLC"
"39","Father_Edu",12,105018.349843875,81.427516412631,"Intermediate/Class 12"
"40","Father_Edu",13,121993.541053242,110.753503597952,"Bachelor level"
"41","Father_Edu",14,112000.75562272,93.4901753757962,"Master level or higher"
"42","Father_Edu",15,63939.4927444041,10.4605374827002,"Professional degree"
"43","Father_Edu",16,53226.5124848992,-8.04698434323788,"Literate (levelless)"
"44","Father_Edu",17,42627.4299141016,-26.3577388916667,"Illiterate"
"45","Father_Edu",98,57966.0697171585,0.140976130552502,"DK"
"46","Birth_Area",1,50021.7116380754,-13.5835316142693,"Mountains"
"47","Birth_Area",2,89515.9205641948,54.6458420980364,"Urban - Kathmandu"
"48","Birth_Area",3,69986.3457427308,20.9069549252675,"Urban - Hill"
"49","Birth_Area",4,45391.6375459829,-21.5823512927696,"Urban - Terai"
"50","Birth_Area",5,49674.6290484364,-14.1831442755031,"Rural Hills - Eastern"
"51","Birth_Area",6,51808.1814322641,-10.4972635631365,"Rural Hills - Central"
"52","Birth_Area",7,56438.1013650839,-2.49871020698865,"Rural Hills - Western"
"53","Birth_Area",8,33546.6759846038,-42.0454604663464,"Rural Hills - Mid and Far West"
"54","Birth_Area",9,41403.3760968572,-28.4723888014032,"Rural Terai - Eastern"
"55","Birth_Area",10,36253.940742805,-37.3684461913926,"Rural Terai - Central"
"56","Birth_Area",11,37994.3379267999,-34.3617722231466,"Rural Terai - Western"
"57","Birth_Area",12,31946.7225666136,-44.8095067062024,"Rural Terai - Mid and Far West"
