"","var","cat","value","value2","class"
"1","Sex",0,7002.79408548586,-0.26897428590776,"Female"
"2","Sex",1,7030.47845943186,0.125295626384784,"Male"
"3","Birth_Area",1,6555.05380119463,-6.64551445841309,"Amazonas-San Martin-Ucayali"
"4","Birth_Area",2,7170.10129852392,2.11374891885357,"Anchash"
"5","Birth_Area",3,6306.68241668395,-10.1827215550231,"Apurimac"
"6","Birth_Area",4,7988.48267032729,13.7688129745594,"Arequipa"
"7","Birth_Area",5,6490.48546413841,-7.56507119600396,"Ayacucho"
"8","Birth_Area",6,6462.56861194803,-7.96265197157265,"Cajamarca"
"9","Birth_Area",7,8826.3298348814,25.701101157331,"Cusco-Madre de Dios"
"10","Birth_Area",8,6708.21292451494,-4.46428275578963,"Huancavelica"
"11","Birth_Area",9,6281.41195852801,-10.5426134326639,"Huánuco"
"12","Birth_Area",10,6451.48093589509,-8.12055827183603,"Ica"
"13","Birth_Area",11,6311.11785796543,-10.1195537532719,"Junin-Pasco"
"14","Birth_Area",12,6882.22109909104,-1.98612710516443,"La Libertad"
"15","Birth_Area",13,7032.22771441916,0.150207824571666,"Lambayeque"
"16","Birth_Area",14,6544.69747632495,-6.79300514416978,"Lima"
"17","Birth_Area",15,8951.93953852903,27.4899849130857,"Callao"
"18","Birth_Area",16,6724.12312608722,-4.23769595304327,"Loreto"
"19","Birth_Area",17,7650.55563520559,8.95618969622251,"Moquegua-Tacna"
"20","Birth_Area",18,7199.43971441552,2.53157504282314,"Piura-Tumbes"
"21","Birth_Area",19,6624.29933780984,-5.65934689323056,"Puno"
"23","Mother_Edu",1,6808.81766262575,-3.03150983672239,"Years of Education"
"24","Mother_Edu",2,6903.23549450766,-1.68684839097173,"Years of Education"
"25","Mother_Edu",3,6364.55041752986,-9.35858835762576,"Years of Education"
"26","Mother_Edu",4,7177.3588712514,2.2171084012931,"Years of Education"
"27","Mother_Edu",5,8721.79753310556,24.2123934288021,"Years of Education"
"28","Mother_Edu",6,7099.64853413752,1.11038849287566,"Years of Education"
"29","Mother_Edu",7,8529.36208607621,21.471803846743,"Years of Education"
"30","Mother_Edu",8,8661.10285820708,23.348003856709,"Years of Education"
"31","Mother_Edu",9,8359.37214778057,19.0508743291327,"Years of Education"
"32","Mother_Edu",10,8873.69450750004,26.3756501052516,"Years of Education"
"33","Mother_Edu",11,10988.4483732584,56.4931388662097,"Years of Education"
"34","Mother_Edu",12,8809.97684639398,25.4682083583378,"Years of Education"
"35","Mother_Edu",13,9690.65512156862,38.0104802908119,"Years of Education"
"36","Mother_Edu",14,11669.1941954146,66.1880518203029,"Years of Education"
"37","Mother_Edu",15,11986.4980308515,70.7069676394503,"Years of Education"
"39","Father_Edu",1,6852.50822646736,-2.40928609391918,"Years of Education"
"40","Father_Edu",2,6998.43786538759,-0.331013850877454,"Years of Education"
"41","Father_Edu",3,5991.73080091252,-14.6681379913421,"Years of Education"
"42","Father_Edu",4,6796.75897326233,-3.20324492478868,"Years of Education"
"43","Father_Edu",5,7106.27290065399,1.20473010271427,"Years of Education"
"44","Father_Edu",6,6592.8637439512,-6.10704019695797,"Years of Education"
"45","Father_Edu",7,7366.78634944219,4.91485967996572,"Years of Education"
"46","Father_Edu",8,7493.35523836803,6.71740377336258,"Years of Education"
"47","Father_Edu",9,7047.44089167394,0.36686788246675,"Years of Education"
"48","Father_Edu",10,7913.98117116339,12.7077920680253,"Years of Education"
"49","Father_Edu",11,8860.81937176875,26.1922875106907,"Years of Education"
"50","Father_Edu",12,7610.10330791805,8.38008363860334,"Years of Education"
"51","Father_Edu",13,8577.26114117732,22.1539632587797,"Years of Education"
"52","Father_Edu",14,10043.9289038933,43.0416658774571,"Years of Education"
"53","Father_Edu",15,10545.0067008858,50.177817825748,"Years of Education"
"54","Ethnicity",1,7320.10882865716,4.25009687688259,"White"
"55","Ethnicity",2,7496.43905699617,6.76132229947461,"Mix-race"
"56","Ethnicity",3,6656.75429261118,-5.19713625383019,"Indigenous"
"57","Ethnicity",4,6751.14500633393,-3.85286101418461,"Afro-descendant"
"58","Ethnicity",5,6670.38102519124,-5.00306971399606,"Other"
