"","var","cat","value","value2","class"
"1","Sex",1,20039.7104436221,0.0339484085357356,"Male"
"2","Sex",2,20105.5087161101,0.362399311753606,"Female"
"3","Birth_Area",1,20148.7123867868,0.578062795300113,"Local"
"4","Birth_Area",2,19030.2144949879,-5.00523945440277,"European Union"
"5","Birth_Area",3,19124.2446126975,-4.53586121811155,"Other"
"6","Father_Occ",0,20254.6226715098,1.10674428437206,"Dead/unknown/not working"
"7","Father_Occ",1,25441.5533847328,26.9987930155624,"Manager"
"8","Father_Occ",2,27791.9631787159,38.7315359976371,"Professional"
"9","Father_Occ",3,24286.2422132344,21.2317267472837,"Technician"
"10","Father_Occ",4,23363.9719652891,16.627950926209,"Clerical"
"11","Father_Occ",5,21421.6472576114,6.93228141306537,"Service"
"12","Father_Occ",6,18460.2276723965,-7.85049176306589,"Agriculture"
"13","Father_Occ",7,19023.0360623066,-5.04107265501308,"Craft/Trades"
"14","Father_Occ",8,19131.6739755049,-4.49877542798154,"Plant Operator"
"15","Father_Occ",9,19316.4792732922,-3.57626690788656,"Elementary"
"16","Father_Occ",10,27854.9250827385,39.0458283561231,"Armed forces"
"17","Mother_Occ",0,21020.913081571,4.93190211595223,"Dead/unknown/not working"
"18","Mother_Occ",1,21911.8643449283,9.37934026451931,"Manager"
"19","Mother_Occ",2,28603.7097896957,42.7836014619562,"Professional"
"20","Mother_Occ",3,25852.7032611994,29.0511652614757,"Technician"
"21","Mother_Occ",4,22513.2390898891,12.3812743683504,"Clerical"
"22","Mother_Occ",5,19997.8479279976,-0.175020315838751,"Service"
"23","Mother_Occ",6,17521.8394862232,-12.5347248844437,"Agriculture"
"24","Mother_Occ",7,19082.0542302068,-4.74646658375752,"Craft/Trades"
"25","Mother_Occ",8,18821.0088740625,-6.0495491688223,"Plant Operator"
"26","Mother_Occ",9,19003.2825840241,-5.139677793693,"Elementary"
"27","Mother_Edu",0,18550.8419374325,-7.39816473273304,"Unknown"
"28","Mother_Edu",1,18462.1780009169,-7.84075614023168,"Basic"
"29","Mother_Edu",2,20846.2920246221,4.06023114790048,"Primary"
"30","Mother_Edu",3,23238.3661582695,16.0009536023425,"Lower Secondary"
"31","Mother_Edu",4,24850.3350368831,24.0475574738431,"Upper Secondary"
"32","Mother_Edu",5,29000.9438337051,44.7665088485845,"Post Secondary"
"33","Mother_Edu",6,28514.4004682029,42.3377884306881,"Tertiary"
"34","Father_Edu",0,19898.168956656,-0.672596421274605,"Unknown"
"35","Father_Edu",1,17602.6727647205,-12.1312224469389,"Basic"
"36","Father_Edu",2,20963.0862776497,4.64324307886875,"Primary"
"37","Father_Edu",3,26897.386535529,34.2660007283627,"Lower Secondary"
"38","Father_Edu",4,26001.4045885809,29.7934504832812,"Upper Secondary"
"39","Father_Edu",5,26286.5696276763,31.2169333668808,"Post Secondary"
"40","Father_Edu",6,27983.5006803626,39.6876502395037,"Tertiary"
